DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
HT201600000001,HTGE71FL,HT,2016.0,1.0,HT2016DHS,59796.171875,64548.46484375,69140.9375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03810226394835696,0.040742767759528294,0.04351521678179859,29.48111300998264,29.66592746310764,29.3531494140625,30.88888888888889,-9999,-9999,-9999,-9999,-9999,3135.5555555555557,3117.222222222222,3176.6666666666665,3440.0,3981.1111111111113,3943.4444444444443,3929.4444444444443,-9999,-9999,-9999,-9999,36.7148288973384,1091.1819957386363,14.0,2.400211493174235,-9999,-9999,-9999,24.790303548177082,25.26064724392361,25.109815809461807,26.1602783203125,36.22537451675258,30.5708091709622,2.8402099609375,69.36475783934708,37.62123805304983,19.142021048109967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.003377332394939468,20.09949408637153,20.855370415581596,20.86648220486111,21.43166775173611,-9999,-9999,-9999,-9999,3895.922637,86369.96656,3966.222379,994.1428571428571,1180.5714285714287,1295.142857142857,890.8571428571429,2048.285714285714,1635.4285714285713,747.5714285714286,5.947007571949678,1.0,1.0,1.0,24.207127888997395,25.738204956054688,23.196487426757812,22.957539876302082,22.907000223795574,25.68915303548177,25.410179138183594,23.56853739420573,24.725975036621094,24.210589090983074,25.022666931152344,25.431640625,178.4965034965035,76.7605633802817,22.46826006355932,24.345276085805086,26.280114539194916,28.149880826271186,59172.63671875,63373.5078125,66043.0,66778.1640625,253.85287800687286,271.9894759450172,283.5652652491409,286.84106529209623,-9999,-9999,-9999,-9999
HT201600000002,HTGE71FL,HT,2016.0,2.0,HT2016DHS,228963.9375,247160.8125,264745.71875,116.68333435058594,189.35000610351562,128.9583282470703,101.65833282470703,29.170833587646484,47.93670654296875,31.453250885009766,24.156435012817383,0.8144599914550781,0.855959129333496,0.8722587585449219,30.319091796875,30.566667556762695,29.483333587646484,30.95833396911621,9.341667175292969,9.208333969116211,9.766667366027832,9.666666984558105,1.0,1660,1654,1652,1846,1898,1915,1685,0.0,0.0,0.0,0.0,73.77777777777777,1090.330078125,11,-9999,-9999,-9999,-9999,25.14181900024414,25.711666107177734,25.174165725708008,26.135000228881836,0.0,19.233662923177082,1.8908004760742188,155.1800333658854,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.916667938232422,30.03333282470703,30.258333206176758,30.808334350585938,25.21666717529297,25.399999618530273,25.350000381469727,25.95833396911621,20.575000762939453,20.825000762939453,20.491666793823242,21.141666412353516,7.991388735563858,19.96454620361328,20.856666564941406,20.864999771118164,21.31166648864746,4.0,3.950000047683716,4.099999904632568,4.208333492279053,204.2434443,45277.5421,889.0949843,1603,1481,1498,1418,1984,1934,1047,3.11840329851423,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.181818181818183,0.0,1739.8883463541667,1885.2400716145833,2035.0690104166667,2179.85986328125,110519.5,121304.4375,129395.515625,133756.75,12240.490885416666,13435.110677083334,14331.393229166666,14814.58984375,11.871665954589844,13.886666297912598,12.513333320617676,11.241666793823242
HT201600000003,HTGE71FL,HT,2016.0,3.0,HT2016DHS,28569.58984375,30840.154296875,33034.359375,94.97500610351562,155.6666717529297,103.75,80.63333892822266,25.66891860961914,42.64840316772461,27.483444213867188,21.21929931640625,0.04055496553579966,0.048363059759140015,0.05204412341117859,32.80091094970703,32.5433349609375,32.01333236694336,32.7783317565918,8.791666984558105,8.683333396911621,9.241666793823242,9.133333206176758,1.0,3716,3704,3936,3986,3949,3875,3864,0.0,0.0,0.0,0.0,53.57142857142857,1090.50927734375,10,6.245192050933838,-9999,-9999,-9999,26.631818771362305,26.789167404174805,26.53499984741211,27.537500381469727,39.69279261997768,52.23546927315848,0.4047551155090332,19.858812604631698,17.44079807826451,0.9605930192129952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.683334350585938,28.825000762939453,28.983333587646484,29.616666793823242,24.258333206176758,24.45833396911621,24.34166717529297,25.024999618530273,19.891666412353516,20.141666412353516,19.741666793823242,20.483333587646484,0.12867184480031332,20.462726593017578,21.03499984741211,21.05666732788086,22.296667098999023,3.700000047683716,3.6500000953674316,3.7750000953674316,3.799999952316284,28816.69349,77587.64254,23375.15573,1406.0,1450.0,1563.0,1396.0,2041.0,1923.0,1135.0,0.7809762954711914,2.0,2.0,2.0,26.41699981689453,27.569000244140625,24.868999481201172,24.934999465942383,24.457000732421875,27.357999801635742,27.28700065612793,25.691999435424805,26.939001083374023,26.007999420166016,27.006999969482422,27.35300064086914,40.5,26.928571428571427,184.28314568014707,199.67830882352942,215.54770795036765,230.88343003216912,5195.3193359375,5995.2939453125,6749.6953125,7391.169921875,456.41653878348217,526.6954520089286,592.9705636160714,649.3250558035714,11.974165916442871,14.332499504089355,12.988332748413086,11.491666793823242
HT201600000004,HTGE71FL,HT,2016.0,4.0,HT2016DHS,86686.96875,93576.40625,100234.1484375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0014895636377936581,0.0016289879119277396,0.001878322160917263,27.33291015625,27.34583435058594,27.05633544921875,27.784332275390625,-9999,-9999,-9999,-9999,-9999,4200.1,4169.1,4188.0,4165.6,4722.7,4834.1,4870.5,-9999,-9999,-9999,-9999,44.77894736842105,1098.5719209558824,14.0,0.0,-9999,-9999,-9999,23.540817260742188,23.81058349609375,23.688250732421874,24.324749755859376,37.352146899606296,32.118674130577425,1.9635078650447015,55.50859169947507,37.772102095636484,12.756184895833334,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0005798982426029719,19.74872741699219,20.275332641601562,20.320166015625,20.865167236328126,-9999,-9999,-9999,-9999,10272.53008,48220.44718,9084.94327,1185.9166666666667,1595.8333333333333,1799.25,1301.1666666666667,2511.75,2233.0833333333335,1044.8333333333333,4.444914200118563,0.0,0.0,0.0,24.290667215983074,25.08533477783203,22.716334025065105,22.779998779296875,22.7010014851888,25.27899932861328,24.937667846679688,23.727333068847656,24.522000630696613,23.61400095621745,24.391001383463543,24.830332438151043,177.9472295514512,146.61477572559366,23.81175306847545,25.801005834140827,27.851537265826874,29.83311127260982,81578.328125,89140.46875,94682.0625,97480.7265625,263.7138136422976,288.15335345953,306.0601746083551,315.099420691906,-9999,-9999,-9999,-9999
HT201600000005,HTGE71FL,HT,2016.0,5.0,HT2016DHS,67966.359375,73367.96875,78587.9375,118.20000457763672,188.9166717529297,206.58334350585938,99.95833587646484,28.829267501831055,46.83884048461914,49.879276275634766,23.705533981323242,0.002906899176426788,0.004327130851460926,0.009108744450469516,29.995635986328125,29.61883544921875,28.28333435058594,30.428997802734376,8.716667175292969,8.733333587646484,9.266666412353516,9.175000190734863,-9999,3552.3,3508.3,3610.3,3659.5,4011.5,4043.8,4032.0,0.0,0.0,0.0,0.0,41.758957654723126,1085.0237038352273,11.0,0.0,-9999,-9999,-9999,24.986363220214844,25.082499694824218,24.443667602539062,25.8572509765625,48.34213898288217,43.199601288813696,3.178420340179638,78.31709046576434,28.708894182921973,1.3601300670842456,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.633333206176758,30.866666793823242,31.041667938232422,31.55000114440918,26.258333206176758,26.475000381469727,26.391666412353516,26.941667556762695,21.916667938232422,22.133333206176758,21.774999618530273,22.375,0.038673291015625,19.977090454101564,20.5461669921875,20.60399932861328,21.285501098632814,4.099999904632568,4.0333333015441895,4.141666889190674,4.2166666984558105,6037.823708,119553.0141,2981.429479,1158.75,1174.875,1217.375,968.25,1760.75,1520.5,864.25,4.23467557724208,0.0,0.0,1.0,24.68199920654297,26.277000427246094,23.4635009765625,23.367000579833984,23.112998962402344,26.28499984741211,26.03350067138672,24.0,25.278499603271484,24.515499114990234,25.545000076293945,25.97249984741211,159.59870550161813,35.605095541401276,23.254717401262216,25.197437398208468,27.199998091408794,29.135214143933226,71828.609375,70954.7734375,75082.125,84243.765625,296.3074919871795,292.57632211538464,310.32787459935895,349.63491586538464,9.963333129882812,12.81583309173584,14.152499198913574,9.6274995803833
HT201600000006,HTGE71FL,HT,2016.0,6.0,HT2016DHS,147944.46875,159702.328125,171064.78125,116.68333435058594,189.35000610351562,128.9583282470703,101.65833282470703,29.170833587646484,47.93670654296875,31.453250885009766,24.156435012817383,0.31241240868201625,0.39251166123610276,0.451200558589055,30.319091796875,30.566667556762695,29.483333587646484,30.95833396911621,9.341667175292969,9.208333969116211,9.766667366027832,9.666666984558105,1.0,1660,1654,1652,1846,1898,1915,1685,0.0,0.0,0.0,0.0,59.0,1090.330078125,11,-9999,-9999,-9999,-9999,25.14181900024414,25.711666107177734,25.174165725708008,26.135000228881836,8.447856903076172,17.59410285949707,3.6225719451904297,163.13265991210938,0.9262092113494873,0.011834441684186459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.916667938232422,30.03333282470703,30.258333206176758,30.808334350585938,25.21666717529297,25.399999618530273,25.350000381469727,25.95833396911621,20.575000762939453,20.825000762939453,20.491666793823242,21.141666412353516,4.778189038473462,19.96454620361328,20.856666564941406,20.864999771118164,21.31166648864746,4.0,3.950000047683716,4.099999904632568,4.208333492279053,2038.847664,46654.81725,2731.917658,1603.0,1481.0,1498.0,1418.0,1984.0,1934.0,1047.0,4.760557174682617,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.0625,0.25,905.7723388671875,981.4412841796875,1059.441162109375,1134.8179931640625,133318.078125,146361.59375,156160.328125,161461.65625,10211.65234375,11210.736328125,11961.28125,12367.33984375,11.871665954589844,13.886666297912598,12.513333320617676,11.241666793823242
HT201600000007,HTGE71FL,HT,2016.0,7.0,HT2016DHS,59458.38671875,64183.8359375,68750.359375,118.20000457763672,188.9166717529297,206.58334350585938,99.95833587646484,28.829267501831055,46.83884048461914,49.879276275634766,23.705533981323242,0.0016124103127456292,0.0027248951477733085,0.009959399215574188,29.44142804827009,29.33571515764509,28.204047066824778,29.584285191127233,8.716667175292969,8.733333587646484,9.266666412353516,9.175000190734863,-9999,3617.285714285714,3539.0,3628.714285714286,3680.285714285714,4138.571428571428,4244.0,4190.714285714285,0.0,0.0,0.0,0.0,40.83044982698962,1085.0236328125,11.0,0.0,-9999,-9999,-9999,24.438310895647323,24.697378976004465,24.065952845982142,25.031428745814733,50.83614514119601,44.5152551391196,2.495194241850083,113.6633487333887,31.23780107973422,1.4465243824296616,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.633333206176758,30.866666793823242,31.041667938232422,31.55000114440918,26.258333206176758,26.475000381469727,26.391666412353516,26.941667556762695,21.916667938232422,22.133333206176758,21.774999618530273,22.375,0.004415264033307933,19.435193743024552,20.059047154017858,19.9278564453125,20.478572300502233,4.099999904632568,4.0333333015441895,4.141666889190674,4.2166666984558105,4228.124111,131219.9579,4340.472204,1087.4444444444443,1153.3333333333333,1262.3333333333333,958.5555555555555,1794.6666666666667,1529.888888888889,847.2222222222222,6.458594912574405,0.0,0.0,1.0,24.289573669433594,25.624738057454426,22.92034912109375,22.835896809895832,22.650853474934895,25.753130594889324,25.5792719523112,23.597877502441406,24.792742411295574,23.922103881835938,24.874618530273438,25.414039611816406,166.70408163265307,54.50830564784053,21.366177493578768,23.151124719071063,24.991055423266268,26.769111528788528,72619.59375,72480.21875,71347.140625,68874.3046875,301.88257890365446,301.89789244186045,297.70756333056477,287.8476432724253,9.963333129882812,12.81583309173584,14.152499198913574,9.6274995803833
HT201600000008,HTGE71FL,HT,2016.0,8.0,HT2016DHS,77541.5859375,83704.1875,89659.5546875,94.97500610351562,155.6666717529297,103.75,80.63333892822266,25.66891860961914,42.64840316772461,27.483444213867188,21.21929931640625,0.0010872416079990448,0.0011972424529847646,0.0012945283973027789,31.887190385298297,30.115908536044035,30.33242520419034,32.64500011097301,8.791666984558105,8.683333396911621,9.241666793823242,9.133333206176758,1.0,3573.4545454545455,3473.818181818182,3576.818181818182,3673.3636363636365,4201.272727272727,4095.818181818182,4047.4545454545455,0.0,0.0,0.0,0.0,32.327319587628864,1090.50927734375,10.0,0.20213580131530762,-9999,-9999,-9999,25.363059303977273,24.706137917258523,24.672576904296875,26.384693492542613,56.16442493556701,95.11856676868557,2.688234624174452,48.9100807425902,47.540592783505154,0.24997754441094153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.683334350585938,28.825000762939453,28.983333587646484,29.616666793823242,24.258333206176758,24.45833396911621,24.34166717529297,25.024999618530273,19.891666412353516,20.141666412353516,19.741666793823242,20.483333587646484,0.0018152624847804619,18.838925448330965,19.296363136985086,19.01272860440341,20.124393809925426,3.700000047683716,3.6500000953674316,3.7750000953674316,3.799999952316284,29559.27534,43379.9622,29559.43356,1223.3333333333333,1257.0,1310.25,1138.0833333333333,1631.5,1563.75,902.3333333333334,4.325335315822326,0.0,0.0,0.0,24.235000610351562,25.53150177001953,22.365251541137695,22.6247501373291,22.030498504638672,25.371002197265625,25.189998626708984,23.4424991607666,24.763999938964844,23.570499420166016,24.818498611450195,25.22800064086914,172.2835051546392,58.118556701030926,24.03224886976523,26.039920090418782,28.10943944321066,30.109360128489847,72202.5703125,78925.375,84034.03125,86904.875,229.28966655927834,250.63752416237114,266.8591736469072,275.9742066688144,11.974165916442871,14.332499504089355,12.988332748413086,11.491666793823242
HT201600000009,HTGE71FL,HT,2016.0,9.0,HT2016DHS,422557.75,456140.5,488593.84375,134.9499969482422,198.8249969482422,142.56666564941406,120.33333587646484,33.80793380737305,50.65605163574219,34.91428756713867,28.76494026184082,0.08618972874894927,0.1099277930923655,0.13650519938408573,31.250660289417613,30.446516557173297,29.27772938121449,31.616363525390625,9.433333396911621,9.291666984558105,9.833333015441895,9.733333587646484,1.0,2886.2727272727275,2876.0,2940.0,3020.3636363636365,3190.7272727272725,3303.5454545454545,3049.181818181818,0.0,0.0,0.0,0.0,35.750649350649354,1090.330078125,12.0,0.12277620037396748,-9999,-9999,-9999,24.3980185768821,24.34257646040483,23.817804509943183,25.388485995205965,83.78520698051948,66.72602982954545,35.502734375,105.65612824675324,16.257257000811688,10.338347199675324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.950000762939453,29.058334350585938,29.30000114440918,29.83333396911621,24.20833396911621,24.383333206176758,24.366666793823242,24.933334350585938,19.516666412353516,19.766666412353516,19.46666717529297,20.100000381469727,1.3602153676975597,17.545371315696023,18.238637750799004,18.357878251509234,19.160605690696023,3.991666793823242,3.9250001907348633,4.083333492279053,4.183333396911621,14871.18874,30945.98822,14855.87511,1807.0,1641.3,1705.1,1513.6,2211.6,2117.8,1168.4,7.266900238433442,0.0,0.0,1.0,20.18833287556966,21.868001302083332,19.102333068847656,19.123999277750652,18.747332255045574,21.917999267578125,21.608665466308594,19.62266794840495,20.785332997639973,20.157000223795574,20.988667805989582,21.57433319091797,144.22597402597404,13.337662337662337,102.45406892673522,111.01315472365039,119.83591741645245,128.36197581940874,421424.09375,454673.375,489166.875,520209.59375,1341.3967532467532,1447.2462662337662,1557.0517857142856,1655.8701298701299,12.171666145324707,14.014166831970215,12.550832748413086,11.41333293914795
HT201600000010,HTGE71FL,HT,2016.0,10.0,HT2016DHS,120219.8828125,129774.34375,139007.46875,60.46666717529297,102.29167175292969,105.39167022705078,48.275001525878906,14.960824966430664,25.842105865478516,25.915983200073242,11.703030586242676,0.011852488442072793,0.0136939699687655,0.015325948927137586,32.62851229580966,32.28666548295455,31.451665704900567,33.12893954190341,8.366666793823242,8.316666603088379,8.866666793823242,8.766666412353516,-9999,3047.090909090909,2898.3636363636365,3102.0,3204.181818181818,3235.7272727272725,3296.3636363636365,3343.5454545454545,0.0,0.0,0.0,0.0,42.65025906735751,1090.5093060661766,8.0,34.9434560139974,-9999,-9999,-9999,27.20644586736506,27.198713822798297,26.829168146306817,28.09893798828125,26.82493035368217,30.71121002906977,0.18931950216761548,46.69158793604651,23.92984899870801,0.6857303747527052,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.649999618530273,30.808334350585938,30.941667556762695,31.575000762939453,26.433334350585938,26.625,26.491666793823242,27.166667938232422,22.28333282470703,22.491666793823242,22.075000762939453,22.808334350585938,0.023306765507176978,21.784380826083098,22.110756613991477,22.206667813387785,23.068939208984375,4.0416669845581055,3.9583334922790527,4.066666603088379,4.125,14293.06362,95415.56848,10917.37273,836.1666666666666,882.5833333333334,912.75,822.5833333333334,1230.0833333333333,1144.3333333333333,697.6666666666666,0.6001863701398983,0.0,0.0,0.0,26.41033426920573,27.76966603597005,25.13733418782552,25.0086669921875,24.688334147135418,27.6183344523112,27.567667643229168,25.686665852864582,27.071334838867188,26.350667317708332,27.35399881998698,27.54333241780599,96.45219638242894,25.449612403100776,32.94643355389031,35.69880271444515,38.535958426339285,41.27770497847577,115387.2265625,125924.7421875,133659.0625,137584.6875,366.8841650516796,400.39010012919897,424.98304263565893,437.4658833979328,9.143333435058594,12.164166450500488,12.714166641235352,9.454999923706055
