DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
MW201400000001,MWGE71FL,MW,2014.0,1.0,MW2014MIS,26756.97265625,31089.6328125,36297.60546875,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,2.2971327047026346e-05,0.00010350227119430663,0.0003323436256438967,29.833786010742188,31.1687494913737,31.356943766276043,30.909444173177082,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7.0,2643.0833333333335,2684.4166666666665,2796.4166666666665,2801.75,2986.0833333333335,2816.25,2888.0833333333335,0.02749999798834324,0.0,0.0,0.0,37.75401069518717,733.80029296875,8.0,0.052019973595937095,0.18069966850554814,0.2753705611306817,0.6428954561678858,22.974873860677082,24.183011372884113,24.10206349690755,23.980936686197918,3.7275488804876007,47.12710497654155,0.8584107099845006,4.998105128393097,0.2996686879175917,0.3756106581006731,0.21186343261173793,0.10110923222133092,0.12975768532071794,0.33233887808663504,0.14761887277875627,0.05642598867416382,0.0789002776145935,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.003544619014274407,16.847184499104817,17.052425384521484,16.11595408121745,17.19727325439453,16.847184499104817,17.052425384521484,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,4204.551807,89597.4627,75171.11366,1311.4,922.9,1010.8,1117.9,826.0,925.5,1254.0,2.1498316542392764,1.0,1.0,1.0,20.3423334757487,18.44366709391276,21.1096674601237,20.97766621907552,20.645668029785156,17.635332743326824,17.972666422526043,20.880999247233074,19.071666717529297,22.509000142415363,22.722333272298176,20.882667541503906,290.56300268096516,126.5254691689008,10.22080550655242,11.670940440188172,13.555591870379704,15.822830036122312,21672.220703125,24906.537109375,29021.90625,33769.78125,68.46019395107238,78.67731023793566,91.67768724865952,106.67615826072387,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201400000002,MWGE71FL,MW,2014.0,2.0,MW2014MIS,17470.3515625,20238.85546875,23589.0703125,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,2.846502729000584e-05,9.867649885915941e-05,0.00022589972903651575,28.553817749023438,30.038665771484375,29.458331298828124,29.40833435058594,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7.0,2651.5,2721.6,2854.9,2863.5,3030.0,2936.7,2944.8,0.02749999798834324,0.0,0.0,0.0,34.84324324324324,733.8002604166667,8.0,0.05512084563573202,0.19576726239507392,0.25950221542744667,0.726636340495442,22.294454956054686,23.639999389648438,23.190249633789062,23.2382568359375,0.3524534734432909,53.925060015161726,0.34288641834516087,4.086504090507075,0.007058033082041779,0.41976475715637207,0.26833183424813406,0.1280479942049299,0.14914778300694057,0.37887048721313477,0.20171465192522323,0.07416395630155291,0.09357338292258126,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.00045936257744985226,16.92216796875,17.068182373046874,16.03509063720703,17.2413330078125,16.92216796875,17.068182373046874,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,1786.783207,55789.80591,57365.86027,1060.888888888889,757.4444444444445,921.8888888888889,1072.111111111111,767.4444444444445,941.1111111111111,1083.4444444444443,1.421115597624663,1.0,1.0,1.0,20.111666361490887,18.056334177652996,20.947999318440754,20.731000264485676,20.665667215983074,17.19833246866862,17.527666727701824,20.8903325398763,18.726999918619793,22.47033182779948,22.570999145507812,20.501665751139324,319.3045822102426,189.37735849056602,7.0942191459037165,8.079079127956081,9.359140097128378,10.908333773226351,14088.4248046875,16618.5546875,19848.39453125,23633.24609375,44.78149216644205,52.82378706199461,63.090191206199464,75.12076208726415,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201400000003,MWGE71FL,MW,2014.0,3.0,MW2014MIS,8361.7763671875,9688.064453125,11292.09765625,79.16666412353516,67.74166870117188,73.0250015258789,60.741668701171875,22.727272033691406,17.113683700561523,19.692134857177734,16.490949630737305,0.00025072896593733676,0.00029569970373111436,0.0003325363408915604,25.771636962890625,26.677166748046876,26.636334228515626,26.687335205078124,11.083333969116211,11.300000190734863,11.083333969116211,11.02500057220459,7.0,2805.7,2854.7,2980.2,3042.5,3395.7,3312.9,3351.6,0.0,0.0,0.0,0.0,24.37830687830688,794.2575073242188,8.0,0.015054162591695786,0.2127621824851258,0.22888345865037535,0.7115184128896185,20.304364013671876,21.278082275390624,21.16300048828125,21.289999389648436,0.43555672458870703,39.221139736276456,0.3455105332470445,4.447095759961971,0.005197113783901961,0.3716328938802083,0.27354590098063153,0.17763598759969076,0.19536606470743814,0.31279341379801434,0.20475708643595378,0.11179120540618896,0.13075180053710939,26.875,27.83333396911621,27.483333587646484,27.316667556762695,21.316667556762695,22.15833282470703,21.916667938232422,21.78333282470703,15.791666984558105,16.53333282470703,16.399999618530273,16.291667938232422,0.0,15.689666748046875,15.892666625976563,14.837091064453125,15.879000854492187,15.689666748046875,15.892666625976563,3.4833333492279053,3.9583334922790527,3.7083334922790527,3.683333396911621,9549.16301,22202.16092,45193.78119,1212.5454545454545,862.5454545454545,1165.090909090909,1178.2727272727273,896.1818181818181,1102.0,1222.3636363636363,3.3724177930720898,1.0,1.0,1.0,19.38825035095215,16.36174964904785,20.58275032043457,20.282001495361328,20.141250610351562,15.195999145507812,15.52649974822998,20.113750457763672,17.413000106811523,21.361499786376953,20.89324951171875,18.418498992919922,338.32804232804233,257.79100529100526,3.5880425565986225,4.08638180968582,4.734536447832661,5.518424085391465,6919.44873046875,8240.65625,9936.505859375,11948.498046875,21.60801091269841,25.733871217757937,31.02966114831349,37.31270151289682,7.354166507720947,6.527500152587891,7.464166641235352,6.56749963760376
MW201400000004,MWGE71FL,MW,2014.0,4.0,MW2014MIS,5670.49658203125,6569.9130859375,7657.67919921875,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,0.007075639298328986,0.015417314492739163,0.031477157886211686,30.35727310180664,31.946666717529297,31.670000076293945,32.018333435058594,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7,2370.0,2391.0,2570.0,2576.0,2834.0,2708.0,2677.0,0.02749999798834324,0.0,0.0,0.0,58.25,733.80029296875,8,0.08338823914527893,0.21899068297558388,0.25335211121806667,0.7061094621726203,23.504545211791992,24.891666412353516,24.504167556762695,24.80143928527832,0.6874145269393921,61.635009765625,0.45572781562805176,4.845546722412109,0.008186040446162224,0.4252576529979706,0.24530769884586334,0.11432244628667831,0.14312316477298737,0.3872663378715515,0.17832118272781372,0.06428706645965576,0.08868353068828583,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.24744612595130658,17.338333129882812,17.584545135498047,16.651817321777344,17.836666107177734,17.338333129882812,17.584545135498047,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,4802.63026,70755.36121,66580.15279,967.0,667.0,813.0,906.0,686.0,764.0,816.0,1.01959228515625,0.0,0.0,1.0,20.2450008392334,18.545000076293945,21.323999404907227,20.82900047302246,20.631000518798828,17.18199920654297,17.54199981689453,20.742000579833984,18.969999313354492,22.951000213623047,23.049999237060547,20.993999481201172,270.75,159.75,13.235591888427734,15.073868751525879,17.464786529541016,20.35639190673828,4284.9990234375,5702.60400390625,7719.8232421875,10458.578125,315.72882080078125,420.1808166503906,568.8134765625,770.6102294921875,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201400000005,MWGE71FL,MW,2014.0,5.0,MW2014MIS,8746.7998046875,10134.158203125,11812.048828125,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,0.03546921610832214,0.04922682046890259,0.08456880450248719,30.35727310180664,31.946666717529297,31.670000076293945,32.018333435058594,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7.0,2370,2391,2570,2576,2834,2708,2677,0.02749999798834324,0.0,0.0,0.0,53.06666666666667,733.80029296875,8,0.08338823914527893,0.2166772941419848,0.25579888730321737,0.7073642363292398,23.504545211791992,24.891666412353516,24.504167556762695,24.80143928527832,0.7886203765869141,65.65699869791666,0.4344779968261719,3.9993006388346353,0.008739145596822102,0.40007084608078003,0.21943898499011993,0.09711407124996185,0.12654009461402893,0.3726998567581177,0.15864859521389008,0.054265208542346954,0.07801181823015213,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.5993551660756595,17.338333129882812,17.584545135498047,16.651817321777344,17.836666107177734,17.338333129882812,17.584545135498047,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,3731.798619,74543.95632,69811.75011,967,667,813,906,686,764,816,1.8333209991455077,1.0,2.0,2.0,20.2450008392334,18.545000076293945,21.323999404907227,20.82900047302246,20.631000518798828,17.18199920654297,17.54199981689453,20.742000579833984,18.969999313354492,22.951000213623047,23.049999237060547,20.993999481201172,279.1333333333333,155.13333333333333,90.50112479073661,103.07073102678571,119.41912841796875,139.19109235491072,5459.6953125,7435.1513671875,10276.5869140625,14181.1650390625,429.09020182291664,584.3459635416667,807.6610677083333,1114.5311197916667,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201400000006,MWGE71FL,MW,2014.0,6.0,MW2014MIS,57040.34765625,66087.703125,77029.7109375,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.020645021509241173,0.03536044226752387,0.042661126454671225,31.107044219970703,31.231040954589844,31.325206756591797,31.263957977294922,10.308333396911621,10.541666984558105,10.333333969116211,10.241666793823242,7.0,2940.0,3354.625,3240.625,3155.0,3363.0,3272.75,3271.5,0.0,0.0,0.0,0.0,33.28616352201258,733.80029296875,8.0,0.9329259991645813,0.2512410631879661,0.2902542706845665,0.7630494234419677,25.473295211791992,26.260417938232422,26.07604217529297,26.44629669189453,1.6695579107553682,97.66143836273007,3.1389369847584354,17.692487658167177,0.2345761492208469,0.37292696634928385,0.29466177622477213,0.20076659520467122,0.23383817672729493,0.32609710693359373,0.2333388328552246,0.13359541893005372,0.17088772455851237,29.733333587646484,30.641666412353516,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.003053987283765534,20.826875686645508,21.62863540649414,19.83954620361328,21.289791107177734,20.826875686645508,21.62863540649414,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,13655.47447,39178.22638,5781.592221,1214.75,805.125,1039.125,1063.375,763.375,996.125,1232.25,0.8649391221122508,1.0,1.0,1.0,24.30324935913086,22.21575164794922,25.63425064086914,24.904251098632812,25.001501083374023,21.243751525878906,21.686500549316406,24.63224983215332,23.08475112915039,26.75025177001953,26.190250396728516,24.183500289916992,297.2147239263804,105.84969325153374,26.975962697723766,30.722626109182098,35.595639829282405,41.48913423514661,49120.94921875,56239.296875,65228.58203125,75422.875,186.6307451923077,213.67391826923077,247.83158653846155,286.5637019230769,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201400000007,MWGE71FL,MW,2014.0,7.0,MW2014MIS,86526.234375,100957.7421875,118156.03125,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.0069442595107645924,0.009803824786898455,0.019432647318779667,30.357274373372395,31.092915852864582,30.9036127726237,31.23291778564453,10.308333396911621,10.541666984558105,10.333333969116211,10.241666793823242,7.0,3326.1666666666665,3482.4166666666665,3576.75,3630.9166666666665,3817.9166666666665,3698.5833333333335,3675.5,0.0,0.0,0.0,0.0,30.654054054054054,733.8002604166667,8.0,11.225418090820312,0.1981613394207477,0.3201722466594798,0.670295786835225,23.974772135416668,25.02174123128255,25.00305430094401,25.63347880045573,5.198922152132601,193.60076013513515,40.274641047297294,13.21549831081081,0.00035967484519288344,0.33491904394967215,0.2636773756572178,0.16411440713065012,0.19215726852416992,0.3084656851632254,0.2143704550606864,0.10958620480128697,0.13895023720605032,29.733333587646484,30.641666412353516,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.05809264074527276,19.10249964396159,20.034041086832683,17.59227244059245,18.950567881266277,19.10249964396159,20.034041086832683,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,1043.097864,58834.97753,15096.00637,1570.090909090909,998.0909090909091,1311.3636363636363,1324.7272727272727,956.8181818181819,1247.4545454545455,1522.909090909091,0.595562744140625,1.0,1.0,1.0,24.18566640218099,22.001665751139324,25.822998046875,24.97833251953125,25.0846684773763,21.00499979654948,21.455668131510418,24.637001037597656,22.962666829427082,26.621665954589844,26.078999837239582,24.175333658854168,287.7918918918919,63.51081081081081,28.409248496781842,32.58721311822493,38.010350503895665,44.47732469512195,69753.1875,80151.546875,93198.03125,108056.828125,222.18657094594596,255.3085304054054,296.86549831081084,344.1952069256757,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201400000008,MWGE71FL,MW,2014.0,8.0,MW2014MIS,3467.306640625,4017.267578125,4682.39794921875,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,1.3286158011273939e-05,9.501075006757902e-05,0.0019125589603779783,27.405816650390626,29.04716796875,28.523834228515625,29.12750244140625,10.308333396911621,10.541666984558105,10.333333969116211,10.241666793823242,7.0,2970.2,3072.4,3195.2,3140.3,3450.7,3494.4,3438.4,0.0,0.0,0.0,0.0,14.79245283018868,757.983203125,8.0,0.0,0.23213328169335484,0.25681242353488964,0.7377195791487471,22.49390869140625,23.796249389648438,23.533749389648438,23.972886657714845,0.5979143297350085,23.777169552364864,0.2019690230086043,19.410676203547297,0.0009654248082959974,0.39953606923421225,0.3149683634440104,0.20110141436258952,0.22314783732096355,0.3569260279337565,0.25488621393839517,0.1340426762898763,0.16033458709716797,29.733333587646484,30.641666412353516,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.1001875544168863,18.543666076660156,18.818272399902344,17.582000732421875,18.545333862304688,18.543666076660156,18.818272399902344,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,29770.79112,22450.37289,28955.73961,1153.6666666666667,804.6666666666666,1118.888888888889,1106.4444444444443,775.6666666666666,1047.888888888889,1179.4444444444443,3.1574792810388512,1.0,1.0,0.0,21.14725112915039,18.706748962402344,22.48725128173828,21.92749786376953,21.89025115966797,17.570249557495117,17.98149871826172,21.774999618530273,19.631750106811523,23.63599967956543,23.284000396728516,20.903499603271484,318.47297297297297,186.67567567567568,1.4035547204919763,1.5984929265202703,1.8520352750211149,2.1586726008234796,3021.3203125,3611.072509765625,4368.72509765625,5275.318359375,9.634326831714526,11.514917652027027,13.930904244087838,16.821831450591215,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201400000009,MWGE71FL,MW,2014.0,9.0,MW2014MIS,38088.39453125,44129.72265625,51436.1796875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.016898126602172853,0.018999695248074003,0.023696068657769097,30.790201822916668,31.35944281684028,31.284257676866318,31.68537055121528,-9999,-9999,-9999,-9999,7.0,2783.1111111111113,3377.8888888888887,3313.222222222222,3170.222222222222,3383.777777777778,3159.5555555555557,3206.4444444444443,-9999,-9999,-9999,-9999,36.33730158730159,989.2578125,8.0,0.025117104252179463,0.2714851178347595,0.26562016946112477,0.7452955165528187,25.75969780815972,26.319444444444443,26.279720730251736,26.773518880208332,3.214284108097392,168.21205357142858,7.548869885896382,12.161494434328008,0.5730875918739721,0.33307311751625757,0.29212622209028766,0.2402213920246471,0.23841110142794522,0.27691496502269397,0.22504810853437943,0.16951428760181775,0.17471051216125488,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.028603268560962142,21.27518547905816,21.86166720920139,20.72919379340278,21.279444376627605,21.27518547905816,21.86166720920139,-9999,-9999,-9999,-9999,39033.71749,12309.03377,1360.000736,1170.25,727.875,856.375,907.375,693.0,929.75,881.0,1.212975523525611,1.0,1.0,1.0,24.36266581217448,21.985997517903645,25.5020014444987,25.011332194010418,25.005332946777344,20.95433298746745,21.30133310953776,24.698333740234375,22.979331970214844,26.7346674601237,26.069666544596355,23.89300028483073,164.37218045112783,99.52255639097744,22.81264685150376,25.98107267680921,30.102017739661655,35.08594484257519,30773.87890625,36687.453125,44289.6484375,53285.8671875,150.1764887971698,179.02892099056604,216.13368219339623,260.03685141509436,-9999,-9999,-9999,-9999
MW201400000010,MWGE71FL,MW,2014.0,10.0,MW2014MIS,24564.66796875,28460.955078125,33173.171875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00021793921569398806,0.00038251952797758814,0.0009729577337994295,33.25701468331473,33.830714634486604,33.62785775320871,33.68523733956473,-9999,-9999,-9999,-9999,7.0,2674.5714285714284,2918.0,2972.5714285714284,2880.4285714285716,3129.1428571428573,3019.714285714286,3019.4285714285716,-9999,-9999,-9999,-9999,37.37344398340249,989.2578125,8.0,0.7321629524230957,0.26843271125685636,0.2710543341060197,0.7587655730171405,26.798180716378347,27.547498430524552,27.426666259765625,27.671146937779017,2.183202924061214,159.3525430812757,4.3245573318544235,12.701866118505658,0.31399266121318803,0.3278204094279896,0.28073727000843396,0.2307579517364502,0.24509263038635254,0.2693626447157426,0.21432269703258167,0.1597639647397128,0.18097015944394199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.004494514105454931,21.225476946149552,21.657054356166295,20.339351109095983,21.26428440638951,21.225476946149552,21.657054356166295,-9999,-9999,-9999,-9999,51413.53189,10731.92148,539.486556,906.4,644.2,859.6,784.6,624.0,824.0,835.8,0.9279834763012795,1.0,1.0,1.0,24.352333068847656,22.046666463216145,25.49066670735677,24.91200002034505,24.97466532389323,21.18633270263672,21.62566630045573,24.64466603597005,23.217999776204426,26.798667907714844,26.161000569661457,23.9566650390625,264.32510288065845,123.52263374485597,16.805665088300945,19.139787946428573,22.17561301864496,25.847180278361346,19826.236328125,23442.8359375,28072.58203125,33510.62890625,105.82562078578839,125.11939185684648,149.81543373962654,178.82214406120332,-9999,-9999,-9999,-9999
