DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
MW201500000001,MWGE7AFL,MW,2015.0,1.0,MW2015DHS,9492.359375,10997.9736328125,12818.8837890625,84.4749984741211,51.65833282470703,65.9749984741211,61.97500228881836,25.406015396118164,12.860995292663574,17.476821899414062,16.16739273071289,0.008573810880382856,0.01290597269932429,0.018246079484621685,27.87363624572754,30.540000915527344,28.93833351135254,31.376667022705078,10.741666793823242,11.774999618530273,11.375,11.649999618530273,7.0,2837.0,2765.0,2752.0,2745.0,2816.0,2844.0,2718.0,0.0,0.0,0.0,0.0,28.266666666666666,684.181396484375,7,0.05312322825193405,0.23173386602974513,0.26341412745853404,0.9059499816998751,21.212818145751953,23.105833053588867,22.352500915527344,23.5674991607666,0.3986037254333496,144.65997721354168,4.440836079915365,24.312272135416666,0.008875297506650288,0.3674265146255493,0.2980470061302185,0.5641335248947144,0.23850777745246887,0.33230066299438477,0.24182456731796265,0.5505653619766235,0.18211163580417633,26.450000762939453,28.058334350585938,27.733333587646484,27.700000762939453,21.05000114440918,22.150001525878906,22.025001525878906,21.83333396911621,15.708333969116211,16.28333282470703,16.358333587646484,16.049999237060547,0.7951055859762525,15.766666412353516,15.758333206176758,14.552000045776367,15.671667098999023,15.766666412353516,15.758333206176758,3.325000047683716,4.016666889190674,3.7750000953674316,3.8333332538604736,69392.27806,22044.85352,41768.25531,1012.0,857.0,687.0,948.0,767.0,1123.0,870.0,1.8118948618570963,2.0,2.0,2.0,19.03299903869629,16.722999572753906,20.652000427246094,20.0,20.159000396728516,15.02299976348877,15.3100004196167,19.656999588012695,17.509000778198242,21.8439998626709,21.48200035095215,19.444000244140625,87.4,66.8,92.64985002790179,105.51789202008929,122.25442940848214,142.49583217075892,7251.85107421875,8444.1298828125,9956.837890625,11700.80078125,577.4065104166667,672.3380208333333,792.7826822916667,931.6403645833333,7.567500114440918,5.410833358764648,6.9008331298828125,6.09666633605957
MW201500000002,MWGE7AFL,MW,2015.0,2.0,MW2015DHS,22893.9296875,26525.208984375,30916.9296875,75.0,51.04166793823242,57.54166793823242,55.91666793823242,22.113021850585938,12.867647171020508,15.516854286193848,14.812361717224121,0.0,0.0,4.973702918226346e-05,30.312600708007814,32.858831787109374,31.464498901367186,33.319332885742185,11.641666412353516,12.541666984558105,12.15000057220459,12.741666793823242,7.0,2813.3,2786.5,2824.3,2890.5,3018.7,2967.4,2940.4,0.015833333134651184,0.0,0.0,0.0,20.914893617021278,709.7350027901786,7.0,0.044453419744968414,0.21579433182793079,0.3014277077136534,0.9085901874758693,22.805755615234375,24.510833740234375,23.98683319091797,24.933917236328124,0.12387328452252327,45.866501828457444,0.9710639791285738,6.9494875644115695,0.003713011107546218,0.38374748826026917,0.24642500281333923,0.4400685131549835,0.3545134365558624,0.37019461393356323,0.19643555581569672,0.39774972200393677,0.3185853362083435,26.516666412353516,28.025001525878906,27.691667556762695,27.766666412353516,20.67500114440918,21.741666793823242,21.58333396911621,21.383333206176758,14.875,15.483333587646484,15.541666984558105,15.02500057220459,0.0015025018537503632,16.50916748046875,16.548500061035156,15.298910522460938,16.16283264160156,16.50916748046875,16.548500061035156,3.3916666507720947,3.9666666984558105,3.7083334922790527,3.7750000953674316,30229.1819,4381.176185,95642.97105,1052.2727272727273,713.5454545454545,807.3636363636364,824.5454545454545,676.7272727272727,985.0909090909091,792.6363636363636,0.6424651450299202,1.0,1.0,1.0,21.207500457763672,18.44300079345703,22.98200035095215,22.145000457763672,22.184499740600586,16.666000366210938,16.897998809814453,21.830249786376953,19.265499114990234,24.118499755859375,23.760499954223633,21.223751068115234,240.24468085106383,121.26063829787235,9.9954296875,11.383684895833333,13.1892890625,15.373010416666666,20321.1796875,23550.380859375,27660.689453125,32401.947265625,64.41475336602393,74.65058801529256,87.67933427526596,102.70803897938829,7.515832901000977,5.4633331298828125,6.271666526794434,6.117499828338623
MW201500000003,MWGE7AFL,MW,2015.0,3.0,MW2015DHS,31187.802734375,36134.6015625,42117.33203125,108.68333435058594,62.55833435058594,74.50833892822266,98.01667022705078,32.28217697143555,16.144086837768555,20.092134475708008,25.850549697875977,0.001858367369725154,0.00937340809748723,0.01752582421669593,27.602394797585227,29.06288008256392,27.770302512428977,27.626664595170453,10.833333969116211,10.933333396911621,11.074999809265137,11.866666793823242,7.0,2759.818181818182,2609.090909090909,2818.4545454545455,3042.090909090909,3245.3636363636365,3277.909090909091,3108.909090909091,0.0,0.0,0.0,0.0,23.767195767195766,682.8750697544643,8.0,0.01347881555557251,0.40841816585627483,0.4540959563508424,0.9984264860002702,22.650496049360797,24.112953879616477,23.516362970525567,23.87901444868608,0.0498072760445731,51.75391658399471,0.7489473857576885,0.39196212203414355,0.013979810886282138,0.46535075505574547,0.31073474884033203,0.43486448923746746,0.164250644048055,0.44195995330810545,0.24815173149108888,0.3721095720926921,0.10534930229187012,27.991666793823242,29.158334732055664,29.09166717529297,29.291667938232422,22.558334350585938,23.666667938232422,23.541667938232422,23.34166717529297,17.15833282470703,18.225000381469727,18.016666412353516,17.424999237060547,0.0055553465102567935,19.2624248157848,20.131364302201703,17.69859452681108,19.163030450994317,19.2624248157848,20.131364302201703,3.366666793823242,3.875,3.7083334922790527,3.7916667461395264,29771.57132,19058.76902,16283.42826,1339.0,907.0,1078.2,1125.1,849.1,1054.9,1015.0,3.089457839885086,0.0,0.0,0.0,22.490999221801758,19.51474952697754,24.278499603271484,23.84000015258789,23.93924903869629,18.45075035095215,18.584749221801758,23.470001220703125,20.589500427246094,24.98150062561035,24.667499542236328,22.072750091552734,153.92328042328043,108.52910052910053,12.95007997047244,14.748704324557087,17.088044414370078,19.91727541625656,26245.85546875,30673.203125,36359.18359375,43011.75390625,83.98256138392857,98.15610532407408,116.3596126818783,137.658771494709,7.686666488647461,6.56416654586792,7.377500057220459,7.641666412353516
MW201500000004,MWGE7AFL,MW,2015.0,4.0,MW2015DHS,-9999,-9999,-9999,122.42500305175781,85.51667022705078,115.7750015258789,86.67500305175781,35.06205368041992,20.985685348510742,30.136659622192383,22.709606170654297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.625,9.891666412353516,9.758333206176758,10.166666984558105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,-9999,-9999,9.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.366666793823242,29.46666717529297,29.241666793823242,29.299999237060547,23.53333282470703,24.483333587646484,24.33333396911621,24.191667556762695,18.741666793823242,19.575000762939453,19.483333587646484,19.133333206176758,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.491666793823242,4.074999809265137,3.8416666984558105,3.816666841506958,3621.101471,87486.04719,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.549999237060547,7.723333358764648,10.53416633605957,7.944166660308838
MW201500000005,MWGE7AFL,MW,2015.0,5.0,MW2015DHS,50699.890625,58734.8828125,68457.65625,87.38333129882812,52.89167022705078,62.025001525878906,62.82500076293945,24.96666717529297,12.900406837463379,15.937901496887207,15.90506362915039,0.0001292522701006087,0.00016963063251404536,0.0004547143739367288,29.355153401692707,31.66222381591797,31.216110229492188,32.41555531819662,11.391666412353516,12.741666793823242,12.183333396911621,12.5,7.0,2744.0,2733.1666666666665,2755.75,2801.25,2973.75,2955.4166666666665,2884.8333333333335,0.0,0.0,0.0,0.0,35.144,795.2726702008929,7.0,0.045360542833805084,0.21726690183557254,0.33700399134713965,0.9625537068766676,22.367780049641926,23.78277587890625,23.604337056477863,24.21789296468099,1.1877691764933813,81.7457324480563,1.2740273156051023,10.110460214896113,0.12144995886263195,0.4317922294139862,0.2949698269367218,0.4378211498260498,0.3178495764732361,0.38418614864349365,0.2207118719816208,0.36025241017341614,0.25225919485092163,27.608333587646484,29.433334350585938,29.033334732055664,28.975000381469727,21.891666412353516,23.03333282470703,22.92500114440918,22.683334350585938,16.21666717529297,16.691667556762695,16.850000381469727,16.475000381469727,0.041190814217036506,15.992563883463541,16.020228068033855,15.380409240722656,15.903333028157553,15.992563883463541,16.020228068033855,3.5,4.099999904632568,3.8916666507720947,3.950000047683716,4242.295319,60984.30215,152976.249,1216.3333333333333,878.25,749.75,924.0,738.6666666666666,1185.0833333333333,843.1666666666666,1.356426658323559,1.0,1.0,1.0,21.34050178527832,18.19300079345703,22.802749633789062,22.00925064086914,22.236000061035156,16.195749282836914,16.54775047302246,21.56100082397461,19.337499618530273,23.88050079345703,23.55175018310547,21.136249542236328,293.92761394101876,81.97319034852546,21.286660822670605,24.241913242290025,28.083202612368765,32.731837475393704,41307.1796875,48856.90625,58511.30859375,69855.328125,132.5525092158177,156.77885179289544,187.75885975201072,224.16056467828417,7.3333330154418945,5.416666507720947,6.239999771118164,5.888333320617676
MW201500000006,MWGE7AFL,MW,2015.0,6.0,MW2015DHS,20982.13671875,24309.58203125,28334.302734375,71.5250015258789,59.266666412353516,62.04166793823242,53.125,20.195293426513672,14.694214820861816,16.326753616333008,14.135254859924316,0.0,0.00012597583305721467,0.00020946271884174773,30.382242838541668,31.46259223090278,31.541666666666668,31.517408582899307,12.02500057220459,12.399999618530273,11.949999809265137,11.833333969116211,7.0,2838.4444444444443,2875.8888888888887,2974.222222222222,3037.222222222222,3217.1111111111113,3116.3333333333335,3189.0,0.003333333181217313,0.0,0.0,0.0,27.17914438502674,697.6444010416667,8.0,0.04669216573238373,0.23783024677981152,0.24654954661856643,0.8002890895465548,23.337332831488716,24.390370686848957,24.406573825412327,24.420269436306423,0.7417148855280749,45.44941719585562,1.4240224909654913,4.351647361714572,0.25819272536007476,0.36750853061676025,0.2279956191778183,0.1671167016029358,0.15477900207042694,0.3089788258075714,0.16014695167541504,0.10442909598350525,0.09678533673286438,27.633333206176758,28.766666412353516,28.325000762939453,28.08333396911621,21.59166717529297,22.53333282470703,22.316667556762695,22.141666412353516,15.608333587646484,16.366666793823242,16.375,16.25,0.0009634620222904727,17.271480984157986,17.323131985134548,16.29242451985677,17.31814744737413,17.271480984157986,17.323131985134548,3.5416667461395264,4.0333333015441895,3.799999952316284,3.758333444595337,7062.502181,21298.35946,92474.49052,970.5,745.4,817.5,850.5,652.1,876.6,772.1,0.9578426585477942,1.0,1.0,1.0,20.839999389648437,18.32139892578125,22.189799499511718,21.542201232910156,21.470599365234374,17.139801025390625,17.545399475097657,21.41540069580078,19.325399780273436,23.750799560546874,23.579000854492186,21.135400390625,224.2139037433155,136.44652406417111,9.15762475977607,10.429422470337567,12.08337337065508,14.083912568933824,18070.87109375,21049.1640625,24853.12890625,29256.080078125,57.270669702540104,66.70972593582887,78.76556755514706,92.71980489639037,6.561666488647461,5.5883331298828125,6.563333034515381,5.765833377838135
MW201500000007,MWGE7AFL,MW,2015.0,7.0,MW2015DHS,76166.7109375,88247.765625,102858.7578125,90.75833129882812,54.59166717529297,64.95833587646484,67.08333587646484,28.215024948120117,14.179654121398926,17.635746002197266,17.614879608154297,0.04259112256899524,0.05304360466371395,0.07865282653612339,28.905958387586807,31.60018581814236,30.350555419921875,31.941850450303818,9.808333396911621,11.166666984558105,11.016667366027832,10.908333778381348,7.0,2564.222222222222,2536.4444444444443,2607.5555555555557,2659.3333333333335,2780.777777777778,2888.8888888888887,2783.4444444444443,0.0,0.0,0.0,0.0,31.26439790575916,633.2984793526786,7.0,0.06869014352560043,0.20132675951035275,0.23824279654222855,0.9054167524572477,21.755150689019096,23.262963189019096,22.944814046223957,23.722130669487846,0.3510322470677493,112.39971907808399,2.1744852541625654,15.103481022391732,0.005905045611964749,0.4023455083370209,0.3848094046115875,0.4120478630065918,0.1381591260433197,0.3420501947402954,0.31699827313423157,0.3353733420372009,0.08112294971942902,24.899999618530273,26.75,26.58333396911621,26.316667556762695,19.95833396911621,21.133333206176758,21.05000114440918,20.825000762939453,15.091667175292969,15.583333969116211,15.566666603088379,15.408333778381348,0.03222085926424587,15.539072672526041,15.50240749782986,14.60434299045139,14.925740559895834,15.539072672526041,15.50240749782986,3.2166666984558105,3.8500001430511475,3.683333396911621,3.808333396911621,18874.09493,79593.83256,50372.27667,1056.3333333333333,866.6666666666666,584.8888888888889,1008.4444444444445,682.3333333333334,1041.6666666666667,874.2222222222222,2.0108852436536253,1.0,1.0,1.0,19.853500366210938,17.0,21.585498809814453,20.510000228881836,20.86775016784668,15.531749725341797,15.79800033569336,20.362001419067383,18.039501190185547,22.463748931884766,22.306251525878906,19.933500289916992,163.36482939632546,44.38845144356955,32.44568032990716,36.95202928133289,42.81311391329576,49.901587367374006,67143.65625,74820.3125,84430.296875,94961.953125,211.3055282152231,235.46448490813648,265.707718175853,298.8515830052493,7.15749979019165,5.819166660308838,6.559166431427002,6.105000019073486
MW201500000008,MWGE7AFL,MW,2015.0,8.0,MW2015DHS,29159.384765625,33784.44921875,39378.0703125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0004001052761235253,0.0006616241467667885,0.001192399770906656,32.76963500976562,33.42066650390625,33.11783447265625,33.15283203125,-9999,-9999,-9999,-9999,7.0,2768.9,3038.3,3101.8,2981.8,3221.4,3114.8,3102.9,-9999,-9999,-9999,-9999,31.282485875706215,989.2578125,8.0,0.05158690735697746,0.26521991420153845,0.26403568822331996,0.7519585493206881,26.388272094726563,27.1419189453125,26.896417236328126,27.09532470703125,0.5770816322134322,60.90882681197479,0.38189633153065916,11.00275461747199,0.0015412525636475294,0.29173005421956383,0.25180185635884605,0.20934403737386068,0.21749884287516277,0.2813924789428711,0.2264123280843099,0.17092933654785156,0.18784929911295573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0023272708943471634,20.675,21.037818908691406,20.0069091796875,20.86316833496094,20.675,21.037818908691406,-9999,-9999,-9999,-9999,49748.39949,4470.253074,6889.568295,991.1,670.2,847.8,818.4,649.7,864.0,857.3,1.2470280836944152,1.0,1.0,1.0,23.824748992919922,21.516250610351562,25.08099937438965,24.487749099731445,24.506500244140625,20.478248596191406,20.873001098632812,24.199499130249023,22.511499404907227,26.349750518798828,25.715999603271484,23.493749618530273,299.06722689075633,139.1204481792717,13.357916956824512,15.213183049704039,17.626196901114206,20.544527441678273,24078.97265625,28429.9453125,33998.421875,40519.15625,83.22166053921569,98.25288865546219,117.48792016806723,140.01270351890756,-9999,-9999,-9999,-9999
MW201500000009,MWGE7AFL,MW,2015.0,9.0,MW2015DHS,78869.0234375,91378.703125,106508.078125,129.7166748046875,76.99166870117188,90.79167175292969,108.74166870117188,42.763736724853516,21.89336585998535,27.034740447998047,31.82682991027832,0.002740887233189174,0.006128312670995319,0.01907734643845331,29.929998779296874,33.71083374023438,31.848333740234374,32.65116577148437,10.75,11.833333969116211,11.541666984558105,11.600000381469727,7.0,2662.5,2598.1,2645.8,2755.0,2661.1,2760.2,2550.2,0.0,0.0,0.0,0.0,25.167979002624673,682.8750651041667,9.0,0.06285819411277771,0.2972155756690632,0.311834387803614,0.9568266369248365,23.330545043945314,25.8524169921875,24.753082275390625,25.393833923339844,0.021809795710045522,44.717591453412076,2.8560339259350394,7.469134473425197,0.0027083358739617616,0.2843530774116516,0.20229442417621613,0.4248766303062439,0.12612095475196838,0.2449357807636261,0.14736375212669373,0.39956578612327576,0.08016842603683472,26.191667556762695,27.808334350585938,27.566667556762695,27.391666412353516,20.799999237060547,21.883333206176758,21.774999618530273,21.566667556762695,15.441667556762695,15.975000381469727,16.024999618530273,15.791666984558105,0.007237288340224021,17.657833862304688,18.1364990234375,16.73109130859375,17.994000244140626,17.657833862304688,18.1364990234375,3.0333333015441895,3.5166666507720947,3.3583333492279053,3.4166667461395264,32133.3081,84370.82046,39972.76874,1468.909090909091,931.2727272727273,987.4545454545455,1284.8181818181818,861.1818181818181,1174.4545454545455,1030.6363636363637,3.007676973117618,1.0,1.0,1.0,21.54800033569336,18.74599838256836,23.488998413085938,22.881500244140625,23.066749572753906,17.818748474121094,17.881999969482422,22.40974998474121,19.791500091552734,24.306001663208008,23.78900146484375,21.287500381469727,123.94225721784777,54.664041994750654,29.794438760747354,33.932557767030424,39.314714058366405,45.823965567129626,70364.546875,79870.671875,91850.484375,105328.03125,223.0404568569554,253.1723056102362,291.14505413385825,333.86511646981626,9.148333549499512,8.239999771118164,8.963333129882812,8.935832977294922
MW201500000010,MWGE7AFL,MW,2015.0,10.0,MW2015DHS,22628.71484375,26192.466796875,30468.69921875,92.29167175292969,52.75,58.733333587646484,73.5250015258789,27.07823944091797,12.997946739196777,15.124463081359863,18.496854782104492,0.0008611198667472093,0.0010771591580628597,0.002607101333630198,26.694000244140625,29.264666748046874,28.030667114257813,29.201333618164064,9.166666984558105,10.958333969116211,10.791666984558105,10.733333587646484,10.0,3378.5,3492.4,3546.4,3508.9,3561.0,3654.4,3509.2,0.0,0.0,0.0,0.0,15.435356200527705,641.3265625,7.0,0.0,0.2307932224592401,0.2936798399146731,0.9351897726635915,20.785317993164064,22.61183319091797,22.083248901367188,22.71324920654297,1.8630746323074703,34.24666062005277,2.3505269958979222,2.720498278776385,0.04770823456052111,0.4959515503474644,0.6252439362662179,0.39080613000052317,0.14745879173278809,0.45431460653032574,0.6242260932922363,0.3127664838518415,0.08942174060004097,26.70833396911621,28.766666412353516,28.59166717529297,28.34166717529297,22.100000381469727,23.275001525878906,23.166667938232422,22.950000762939453,17.541667938232422,17.808334350585938,17.80000114440918,17.608333587646484,0.0014407976452729015,16.135832214355467,16.22516632080078,14.8766357421875,15.959001159667968,16.135832214355467,16.22516632080078,3.4083333015441895,4.058333396911621,3.883333444595337,3.9750001430511475,4284.184974,54595.17657,88347.82473,1818.3333333333333,1075.0,1076.0,1392.111111111111,919.7777777777778,1300.888888888889,1169.0,3.0221269350882256,1.0,1.0,1.0,19.937400817871094,17.46520080566406,21.594200134277344,21.228001403808594,21.35900115966797,15.659799194335937,16.035800170898437,20.858599853515624,17.996200561523438,22.526800537109374,22.295799255371094,20.050201416015625,340.41952506596306,97.3825857519789,9.639787946428571,11.00388816550926,12.737134176587302,14.81726138806217,17238.76171875,20579.103515625,24843.654296875,29900.888671875,54.790928017810025,65.40768263522428,78.96188571899737,95.03551698548813,6.985000133514404,5.714999675750732,6.4091668128967285,6.681666851043701
