DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
NP201600000001,NPGE7AFL,NP,2016.0,1.0,NP2016DHS,2307.30615234375,2431.14892578125,2579.30078125,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.0,0.0,0.0,25.02111053466797,25.003334045410156,23.950000762939453,24.268333435058594,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,3370,3360,3499,3445,3866,3917,4025,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,34.714285714285715,843.681884765625,10,13.337329864501953,-9999,-9999,-9999,19.274646759033203,19.795833587646484,19.435832977294922,19.872499465942383,61.34814017159598,128.78787667410714,118.56957135881696,7.354427337646484,3.9299095698765347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.0,14.921667098999023,15.476666450500488,13.528182029724121,14.588333129882812,14.921667098999023,15.476666450500488,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,26848.91911,26747.6986,175113.7951,1777,1713,1449,1752,1499,1786,1742,8.306724548339844,1.0,1.0,1.0,25.089000701904297,26.812000274658203,16.680999755859375,17.593000411987305,15.456999778747559,26.749000549316406,26.628999710083008,22.231000900268555,25.98699951171875,20.540000915527344,24.5,26.02400016784668,365.35714285714283,110.57142857142857,16.08427974155971,17.28124455043248,18.20880344935826,19.318426949637278,2236.6884765625,2402.140869140625,2343.08544921875,2112.334228515625,208.2344970703125,223.63802664620536,218.13999720982142,196.65719168526786,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000002,NPGE7AFL,NP,2016.0,2.0,NP2016DHS,9288.8408203125,9787.412109375,10383.845703125,206.4499969482422,162.56666564941406,226.9250030517578,193.4666748046875,72.22740173339844,57.54572296142578,77.14164733886719,68.68639373779297,0.0,0.0,2.1602224128750655e-05,29.945999145507812,28.815000534057617,28.666362762451172,28.31333351135254,9.508333206176758,9.541666984558105,9.966667175292969,9.925000190734863,5.0,2858.0,2843.0,2885.0,2998.0,3534.0,3366.0,3370.0,0.0625,0.005833333358168602,0.10083333402872086,0.10666666179895401,43.473684210526315,1747.7474365234375,10,21.93231964111328,-9999,-9999,-9999,23.756000518798828,24.27166748046875,23.66918182373047,23.789167404174805,166.58043791118422,341.47841282894734,134.04997173108552,10.730994776675576,0.6287399091218647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.066667556762695,26.67500114440918,27.53333282470703,26.174999237060547,21.28333282470703,21.883333206176758,22.508333206176758,21.191667556762695,16.558334350585938,17.133333206176758,17.566667556762695,16.25,0.4571047407208067,18.672000885009766,19.264999389648438,17.56599998474121,19.72833251953125,18.672000885009766,19.264999389648438,2.8583333492279053,2.825000047683716,2.941666603088379,2.816666603088379,1104.570724,38034.43925,145775.6743,2735.0,2543.0,1971.0,2717.0,1948.0,2472.0,2189.0,0.1397807472630551,1.0,2.0,0.0,27.214000701904297,28.572999954223633,18.344999313354492,19.413000106811523,16.980998992919922,28.30900001525879,28.562999725341797,23.73200035095215,28.08500099182129,21.70199966430664,26.142000198364258,27.972999572753906,81.57894736842105,28.05263157894737,39.94691467285156,42.919700622558594,45.223388671875,47.979248046875,7989.8994140625,9154.4228515625,9588.822265625,9335.6162109375,546.1773745888158,625.7824835526316,655.4774876644736,638.1684313322369,7.22333288192749,6.677499771118164,7.147500038146973,6.6558332443237305
NP201600000003,NPGE7AFL,NP,2016.0,3.0,NP2016DHS,6342.95751953125,6683.4111328125,7090.69140625,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.0,0.0,0.0,26.785999298095703,27.889999389648438,27.808181762695312,27.796667098999023,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,2700.0,2732.0,2885.0,2856.0,3087.0,3113.0,3185.0,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,32.470588235294116,843.681884765625,10,33.69416046142578,-9999,-9999,-9999,22.128908157348633,23.75583267211914,23.108091354370117,23.129167556762695,138.93176987591912,259.12474149816177,92.05962057674633,9.002615535960478,0.08354228384354535,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.026344818227431354,18.408000946044922,18.461666107177734,17.471818923950195,19.621665954589844,18.408000946044922,18.461666107177734,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,31805.33174,49605.81602,150678.0803,2178.0,2291.0,1626.0,2587.0,1772.0,2246.0,2284.0,0.9689107782700482,1.0,1.0,0.0,26.992000579833984,27.85099983215332,17.722999572753906,18.624000549316406,16.485000610351562,27.774999618530273,28.30699920654297,23.316999435424805,27.7239990234375,21.174999237060547,25.56599998474121,27.16699981689453,173.11764705882354,18.529411764705884,52.63536955180921,56.55241313733553,59.587819952713815,63.21903911389803,7953.74169921875,9120.0703125,9496.0703125,9140.4345703125,613.0772058823529,702.9585822610294,731.9195772058823,704.4888556985294,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000004,NPGE7AFL,NP,2016.0,4.0,NP2016DHS,4746.484375,5001.24853515625,5306.01953125,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.0,0.0,0.0,29.922727584838867,28.59666633605957,24.9516658782959,28.497272491455078,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,2571,2483,2578,2560,3118,3053,3104,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,27.88235294117647,843.681884765625,10,48.9544792175293,-9999,-9999,-9999,23.941364288330078,24.338333129882812,21.74683380126953,24.100908279418945,150.14691521139707,131.91446461397058,92.82785931755515,7.650331384995404,0.007336374591378605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.0,18.54199981689453,19.704545974731445,17.959999084472656,20.079999923706055,18.54199981689453,19.704545974731445,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,19842.62302,57860.66933,135520.3659,2380,2387,1816,2804,1830,2250,2186,0.2021364464479334,1.0,1.0,1.0,27.635000228881836,28.33300018310547,18.023000717163086,19.2189998626709,16.878999710083008,28.273000717163086,28.657001495361328,23.93600082397461,28.33099937438965,21.569000244140625,26.065000534057617,27.61199951171875,29.0,19.941176470588236,27.504186630249023,29.55100440979004,31.137136459350586,33.03459930419922,5004.6513671875,5751.732421875,6002.35791015625,5790.2763671875,552.3913143382352,634.6467141544117,662.0889246323529,638.4927045036765,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000005,NPGE7AFL,NP,2016.0,5.0,NP2016DHS,5553.25146484375,5851.318359375,6207.89111328125,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.0,0.0,0.0,29.694000244140625,28.731666564941406,28.78272819519043,29.001667022705078,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,2812,2841,2862,2845,3380,3242,3200,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,38.23529411764706,843.681884765625,10,41.07358932495117,-9999,-9999,-9999,24.027000427246094,24.379167556762695,23.723363876342773,23.93666648864746,236.36114142922793,205.597412109375,171.28271484375,7.4528350830078125,0.03601134174010333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.03629992947433934,18.663999557495117,18.871665954589844,18.360000610351562,20.02666664123535,18.663999557495117,18.871665954589844,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,12066.07736,56270.35569,137996.0786,2410.0,2450.0,1700.0,2577.0,1763.0,2270.0,2119.0,0.1383660681107465,1.0,1.0,1.0,27.459999084472656,28.43199920654297,18.114999771118164,19.142000198364258,16.847000122070312,28.26300048828125,28.60700035095215,23.672000885009766,28.243999481201172,21.58500099182129,26.052000045776367,27.694000244140625,35.64705882352941,30.235294117647058,31.150049209594727,33.46818923950195,35.26457214355469,37.41355514526367,4894.29150390625,5639.43896484375,5900.12353515625,5705.9697265625,374.05465877757354,431.0038488051471,450.9271024816176,436.0885799632353,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000006,NPGE7AFL,NP,2016.0,6.0,NP2016DHS,17288.62109375,18216.57421875,19326.673828125,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.004156384617090225,0.005347571646173795,0.009138569235801697,29.293636322021484,28.63166618347168,28.13599967956543,28.834999084472656,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,2616,2615,2707,2799,3192,3144,3092,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,38.588235294117645,843.681884765625,10,38.28865051269531,-9999,-9999,-9999,23.438817977905273,24.33416748046875,23.535999298095703,24.09749984741211,183.06979549632354,220.98733340992646,128.05575022977942,6.462147432215073,0.027345683644799626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.5766640296349159,18.93600082397461,19.360000610351562,17.583999633789062,20.036666870117188,18.93600082397461,19.360000610351562,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,15203.13116,37996.78704,153401.8145,2603,2707,1895,2604,1867,2353,2562,0.35111045837402344,1.0,2.0,2.0,27.198999404907227,28.36199951171875,18.14299964904785,19.033000946044922,16.80900001525879,28.159000396728516,28.485000610351562,23.516000747680664,27.98900032043457,21.51300048828125,25.95199966430664,27.638999938964844,58.0,2.764705882352941,146.12132263183594,156.99545288085938,165.42205810546875,175.50271606445312,11358.8154296875,13088.0322265625,13692.638671875,13242.080078125,868.7606847426471,1001.0171185661765,1047.2593060661766,1012.7990579044117,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000007,NPGE7AFL,NP,2016.0,7.0,NP2016DHS,10712.5380859375,11287.5283203125,11975.3779296875,206.4499969482422,162.56666564941406,226.9250030517578,193.4666748046875,72.22740173339844,57.54572296142578,77.14164733886719,68.68639373779297,0.0,0.0,0.0,28.435455322265625,26.170000076293945,27.31999969482422,27.706666946411133,9.508333206176758,9.541666984558105,9.966667175292969,9.925000190734863,5.0,3036,3087,3132,3023,3425,3283,3260,0.0625,0.005833333358168602,0.10083333402872086,0.10666666179895401,39.294117647058826,1747.7474365234375,10,37.6468505859375,-9999,-9999,-9999,22.583637237548828,22.7336368560791,23.579545974731445,23.432878494262695,146.28329467773438,221.47547912597656,87.23609161376953,4.331985950469971,0.028080832213163376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.066667556762695,26.67500114440918,27.53333282470703,26.174999237060547,21.28333282470703,21.883333206176758,22.508333206176758,21.191667556762695,16.558334350585938,17.133333206176758,17.566667556762695,16.25,0.08341566484365891,19.83909034729004,19.159090042114258,16.7318172454834,19.297273635864258,19.83909034729004,19.159090042114258,2.8583333492279053,2.825000047683716,2.941666603088379,2.816666603088379,15213.40027,35358.82598,156922.4463,2470,2714,1958,2542,1868,2370,2373,0.3308125436306,2.0,2.0,2.0,26.841999053955078,28.12299919128418,17.96500015258789,19.04800033569336,16.631999969482422,27.826000213623047,28.354000091552734,23.62299919128418,27.773000717163086,21.36400032043457,25.606000900268555,27.270999908447266,62.0625,10.8125,64.34080595128677,69.12894933363971,72.8393913717831,77.27814797794117,8786.43359375,10124.185546875,10591.8623046875,10243.3046875,714.19873046875,822.9369506835938,860.9517211914062,832.6194458007812,7.22333288192749,6.677499771118164,7.147500038146973,6.6558332443237305
NP201600000008,NPGE7AFL,NP,2016.0,8.0,NP2016DHS,6788.50732421875,7152.875,7588.7646484375,185.7166748046875,140.8000030517578,201.93333435058594,167.19166564941406,65.3548355102539,49.54838562011719,69.03704071044922,59.71131134033203,0.0,0.0,0.0004990898834710771,29.988182067871094,28.639999389648438,28.673635482788086,28.608333587646484,9.891667366027832,9.933333396911621,10.350000381469727,10.341667175292969,5.0,2506,2483,2543,2623,3282,3130,3187,0.1758333295583725,0.04333333298563957,0.23416666686534882,0.21166665852069855,39.333333333333336,843.681884765625,10.0,42.502010345458984,-9999,-9999,-9999,24.228090286254883,24.393333435058594,23.648818969726562,23.99250030517578,250.31178193933823,218.78883272058823,197.16735121783088,7.2538595760569855,0.04150687245761647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.950000762939453,26.600000381469727,27.45833396911621,26.09166717529297,20.983333587646484,21.616666793823242,22.266666412353516,20.90833282470703,16.058334350585938,16.66666603088379,17.108333587646484,15.75,0.057945058459327334,18.624000549316406,19.376667022705078,18.468000411987305,20.14666748046875,18.624000549316406,19.376667022705078,2.8416666984558105,2.8416666984558105,2.9250001907348633,2.799999952316284,13891.29517,60957.52198,134612.678,2306.0,2322.0,1769.0,2671.0,1774.0,2212.0,2163.0,0.1738092338337618,1.0,2.0,1.0,27.540000915527344,28.36199951171875,18.065000534057617,19.099000930786133,16.83799934387207,28.253000259399414,28.600000381469727,23.665000915527344,28.264999389648438,21.558000564575195,26.02899932861328,27.645999908447266,28.88235294117647,16.88235294117647,39.04124450683594,41.94662857055664,44.19808578491211,46.8914680480957,4860.51171875,5600.40234375,5859.13037109375,5666.197265625,371.47512637867646,428.0228917738971,447.7967313878676,433.0514131433824,6.65916633605957,5.9741668701171875,6.524166584014893,6.229166507720947
NP201600000009,NPGE7AFL,NP,2016.0,9.0,NP2016DHS,48038.89453125,50617.3515625,53701.921875,151.1416778564453,118.625,162.9166717529297,142.7166748046875,46.15012741088867,36.40665054321289,48.511165618896484,44.598960876464844,0.008627901652029582,0.04134308440344674,0.052500861031668525,28.671817779541016,29.0049991607666,29.506362915039062,28.7336368560791,10.908333778381348,10.975000381469727,11.375,11.358333587646484,5.0,3079.0,3071.0,3082.0,3152.0,3422.0,3332.0,3400.0,0.0,0.0,0.023333333432674408,0.003333333181217313,71.75,843.681884765625,9.0,44.97821044921875,-9999,-9999,-9999,23.36490821838379,24.59083366394043,24.67818260192871,24.483484268188477,83.96787396599265,121.1363166360294,79.14769071691177,8.566393683938418,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.883333206176758,30.525001525878906,31.34166717529297,29.975000381469727,24.40833282470703,25.008333206176758,25.633333206176758,24.274999618530273,18.975000381469727,19.549999237060547,19.96666717529297,18.616666793823242,1.4204970139723558,19.850000381469727,20.233333587646484,18.058000564575195,20.176666259765625,19.850000381469727,20.233333587646484,3.2750000953674316,3.258333206176758,3.3583333492279053,3.200000047683716,11882.95745,29681.37271,119037.1095,1999.0,2029.0,1265.0,2369.0,1423.0,1847.0,1745.0,0.02384605653145734,1.0,2.0,3.0,27.673999786376953,28.27199935913086,17.876998901367188,19.35099983215332,16.990999221801758,28.298999786376953,28.694000244140625,24.003999710083008,28.73900032043457,21.58500099182129,26.15999984741211,27.718000411987305,2.3529411764705883,1.0588235294117647,319.74563419117646,343.54055606617646,361.97986557904414,384.03854549632354,30148.615234375,34203.140625,35231.91796875,33547.15625,2302.426930147059,2612.0680147058824,2690.634880514706,2561.970818014706,5.450833320617676,4.866666316986084,5.294166564941406,5.264999866485596
NP201600000010,NPGE7AFL,NP,2016.0,10.0,NP2016DHS,35611.1015625,37522.5,39809.0859375,151.1416778564453,118.625,162.9166717529297,142.7166748046875,46.15012741088867,36.40665054321289,48.511165618896484,44.598960876464844,0.025045584548603405,0.0911544453014027,0.09709153392098167,28.671817779541016,29.0049991607666,29.506362915039062,28.7336368560791,10.908333778381348,10.975000381469727,11.375,11.358333587646484,5.0,3079,3071,3082,3152,3422,3332,3400,0.0,0.0,0.023333333432674408,0.003333333181217313,70.52941176470588,843.681884765625,9.0,44.97821044921875,-9999,-9999,-9999,23.36490821838379,24.59083366394043,24.67818260192871,24.483484268188477,68.95354865579044,95.58407772288604,62.783562155330884,5.998876235064338,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.883333206176758,30.525001525878906,31.34166717529297,29.975000381469727,24.40833282470703,25.008333206176758,25.633333206176758,24.274999618530273,18.975000381469727,19.549999237060547,19.96666717529297,18.616666793823242,1.6597352461381392,19.850000381469727,20.233333587646484,18.058000564575195,20.176666259765625,19.850000381469727,20.233333587646484,3.2750000953674316,3.258333206176758,3.3583333492279053,3.200000047683716,10058.14491,31442.41639,117394.0605,1999,2029,1265,2369,1423,1847,1745,0.04303406967836268,0.0,3.0,3.0,27.673999786376953,28.27199935913086,17.876998901367188,19.35099983215332,16.990999221801758,28.298999786376953,28.694000244140625,24.003999710083008,28.73900032043457,21.58500099182129,26.15999984741211,27.718000411987305,4.117647058823529,0.8235294117647058,256.01947021484375,275.072021484375,289.83636474609375,307.4986572265625,23110.3671875,26218.54296875,27007.01171875,25715.705078125,1764.7045036764705,2002.0443474264705,2062.251838235294,1963.6477481617646,5.450833320617676,4.866666316986084,5.294166564941406,5.264999866485596
