DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
SN201600000001,SNGE7IFL,SN,2016.0,1.0,SN2016DHS,314361.21875,361444.21875,422048.0,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.9641521160419171,0.968694100013146,0.9700566071730393,30.757272720336914,30.86833381652832,30.63166618347168,30.380908966064453,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4.0,186,173,173,290,403,365,365,0.0,0.0,0.0,0.0,63.57142857142857,1702.102294921875,5,0.5116475224494934,0.016289335197553382,0.09397544221026846,0.2677624640680326,25.62636375427246,26.18833351135254,26.211666107177734,25.844621658325195,0.8856779507228306,0.0,0.0,0.0,3.137173516409738,0.08003030717372894,0.04735692963004112,0.049671728163957596,0.05309440195560455,0.04636886343359947,0.025718485936522484,0.026911724358797073,0.028831595554947853,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,40.73844269783266,21.79166603088379,21.308332443237305,20.495454788208008,21.508333206176758,21.79166603088379,21.308332443237305,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,2208.717889,106779.0645,1606.330739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.39758936564127606,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,15.928571428571429,0.0,2010.1901041666667,2297.311458333333,2641.387760416667,3084.272916666667,118011.09375,134866.9375,155066.4375,181066.59375,10144.58705357143,11593.564732142857,13329.974330357143,15565.026785714286,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000002,SNGE7IFL,SN,2016.0,2.0,SN2016DHS,304061.6875,349602.0625,408220.3125,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,1.0,1.0,1.0,30.757272720336914,30.86833381652832,30.63166618347168,30.380908966064453,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,186,173,173,290,403,365,365,0.0,0.0,0.0,0.0,71.76923076923077,1702.102294921875,5.0,0.5116475224494934,0.015905119164474218,0.08926903696659719,0.248602858044985,25.62636375427246,26.18833351135254,26.211666107177734,25.844621658325195,0.0,0.0,0.0,0.0,0.0,0.07746735960245132,0.04646063596010208,0.04871466010808945,0.05102463439106941,0.04448830336332321,0.025113899260759354,0.026315687224268913,0.027588071301579475,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,36.4068115234375,21.79166603088379,21.308332443237305,20.495454788208008,21.508333206176758,21.79166603088379,21.308332443237305,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,2280.425772,108582.8996,2280.318871,412,211,440,386,515,564,606,0.49077924092610675,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,6.6,0.0,1727.681640625,1974.4515380859375,2270.17236328125,2650.81494140625,126656.46875,144747.15625,166426.4375,194331.359375,10144.585416666667,11593.565625,13329.975,15565.025,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000003,SNGE7IFL,SN,2016.0,3.0,SN2016DHS,319873.78125,367782.40625,429448.9375,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.9856022426060268,0.9863687242780413,0.9867425646100726,31.60636329650879,31.498332977294922,30.983333587646484,30.5483341217041,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,682,672,744,843,943,893,945,0.0,0.0,0.0,0.0,67.375,1702.102294921875,5.0,0.5116475224494934,0.01415525189771517,0.08078164701962993,0.22671945725181128,25.64272689819336,26.40916633605957,26.288333892822266,25.717500686645508,0.0,0.0,0.0,0.0,0.0,0.08399546891450882,0.05125560238957405,0.054469093680381775,0.05588772892951965,0.04896640405058861,0.02806566096842289,0.02978585660457611,0.030506689101457596,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,35.84180501302083,21.593334197998047,20.886667251586914,19.67909049987793,21.31999969482422,21.593334197998047,20.886667251586914,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,3152.904908,109683.5772,2538.711138,412.0,211.0,440.0,386.0,515.0,564.0,606.0,0.4424489736557007,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,5.0,0.0,1799.697021484375,2056.753173828125,2364.80029296875,2761.309326171875,135097.65625,154394.015625,177518.15625,207282.8125,10144.5859375,11593.5654296875,13329.974609375,15565.025390625,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000004,SNGE7IFL,SN,2016.0,4.0,SN2016DHS,43276.3671875,49758.0234375,58101.01171875,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.9131841659545898,0.9254811604817709,0.9315749009450277,31.60636329650879,31.498332977294922,30.983333587646484,30.5483341217041,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,682,672,744,843,943,893,945,0.0,0.0,0.0,0.0,65.66666666666667,1702.102294921875,5,0.5116475224494934,0.01415525189771517,0.08078164701962993,0.22671945725181128,25.64272689819336,26.40916633605957,26.288333892822266,25.717500686645508,4.224792734781901,0.0,92.0513671875,0.0,1194.896484375,0.08399546891450882,0.05125560238957405,0.054469093680381775,0.05588772892951965,0.04896640405058861,0.02806566096842289,0.02978585660457611,0.030506689101457596,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,20.774410060194672,21.593334197998047,20.886667251586914,19.67909049987793,21.31999969482422,21.593334197998047,20.886667251586914,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,1940.447696,114249.4012,1621.419861,412,211,440,386,515,564,606,0.8525868654251099,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,13.0,0.0,290.90579659598217,332.45675223214283,382.25,446.3423549107143,113456.1015625,129661.3515625,149081.203125,174077.8125,10144.5875,11593.564583333333,13329.972916666668,15565.027083333332,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000005,SNGE7IFL,SN,2016.0,5.0,SN2016DHS,258257.53125,296937.6875,346725.625,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.881294077092951,0.8821875832297585,0.8821317499334161,30.842727661132812,31.081666946411133,30.184999465942383,29.93666648864746,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4.0,800.0,720.0,764.0,905.0,886.0,844.0,867.0,0.0,0.0,0.0,0.0,87.0,1702.102294921875,5,0.5116475224494934,0.015905119164474218,0.08926903696659719,0.248602858044985,25.03545379638672,25.8125,25.629167556762695,25.15166664123535,0.0,0.0,0.0,0.0,0.0,0.07746735960245132,0.04646063596010208,0.04871466010808945,0.05102463439106941,0.04448830336332321,0.025113899260759354,0.026315687224268913,0.027588071301579475,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,26.384598795572916,21.073333740234375,20.366666793823242,19.228181838989258,20.543333053588867,21.073333740234375,20.366666793823242,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,2397.542124,110881.2419,2392.051966,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.4726426303386688,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,7.5,0.0,1462.947998046875,1671.9053955078125,1922.3125,2244.629150390625,138110.375,157837.09375,181476.890625,211905.28125,10375.875,11857.892578125,13633.888671875,15919.89453125,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000006,SNGE7IFL,SN,2016.0,6.0,SN2016DHS,244852.125,281524.46875,328728.0625,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.9421282548170823,0.9434554760272686,0.9537026331974909,31.60636329650879,31.498332977294922,30.983333587646484,30.5483341217041,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,682,672,744,843,943,893,945,0.0,0.0,0.0,0.0,81.0,1702.102294921875,5,0.5116475224494934,0.019932651083565844,0.09985999805185192,0.26890808420065193,25.64272689819336,26.40916633605957,26.288333892822266,25.717500686645508,0.0,0.0,0.0,0.0,0.0,0.09769575297832489,0.05908738821744919,0.059482015669345856,0.06049318611621857,0.057981226593256,0.032434869557619095,0.0324108824133873,0.03298744186758995,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,32.64219011579241,21.593334197998047,20.886667251586914,19.67909049987793,21.31999969482422,21.593334197998047,20.886667251586914,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,1889.278607,112287.7416,1708.077074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.6190047264099121,3.0,3.0,3.0,22.30422592163086,27.060564041137695,22.930986404418945,21.418310165405273,21.47887420654297,26.53943634033203,25.28591537475586,21.721126556396484,23.078872680664062,25.605634689331055,27.48309898376465,27.484506607055664,8.384615384615385,0.0,1528.0579833984375,1746.315185546875,2007.8670654296875,2344.528564453125,102410.2265625,117037.765625,134566.90625,157129.90625,10144.586538461539,11593.564903846154,13329.973557692309,15565.026442307691,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000007,SNGE7IFL,SN,2016.0,7.0,SN2016DHS,184530.46875,212168.25,247742.78125,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.7593530019124349,0.7745917638142904,0.7918710708618164,-9999,-9999,-9999,-9999,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,82.0,-9999,-9999,-9999,0.019932651083565844,0.09985999805185192,0.26890808420065193,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,0.0,0.09769575297832489,0.05908738821744919,0.059482015669345856,0.06049318611621857,0.057981226593256,0.032434869557619095,0.0324108824133873,0.03298744186758995,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,22.082847764756945,-9999,-9999,-9999,-9999,-9999,-9999,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,949.9485215,112541.0079,866.7154093,493,265,516,466,626,619,712,0.5920694896153041,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.222222222222221,0.0,1898.559481534091,2169.7366832386365,2494.7057883522725,2912.996271306818,79011.3203125,90296.7421875,103820.796875,121228.5,10381.891335227272,11864.767045454546,13641.795454545454,15929.12215909091,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000008,SNGE7IFL,SN,2016.0,8.0,SN2016DHS,97388.625,111974.8671875,130749.8359375,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.8439689983021129,0.8441286954012784,0.8462448987093839,33.30454635620117,32.84166717529297,32.119998931884766,31.233333587646484,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4.0,943,887,976,1018,994,950,949,0.0,0.0,0.0,0.0,92.2,1702.102294921875,5,-9999,0.023231269234951772,0.1081386760113289,0.28029176856046717,25.792726516723633,26.167499542236328,26.02666664123535,25.3125,0.0,14.077605183919271,0.0,0.0,0.0,0.10002682358026505,0.061030976474285126,0.05855277180671692,0.05762137845158577,0.0571182444691658,0.032315444201231,0.030700212344527245,0.030206678435206413,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,4.766512078753973,19.933332443237305,19.391666412353516,18.280908584594727,19.49333381652832,19.933332443237305,19.391666412353516,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,2680.645761,108624.1328,2797.70289,462,268,504,450,632,594,671,0.21312686375209264,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.133333333333333,0.0,907.0166015625,1036.5685546875,1191.8190104166667,1391.6528645833334,179460.71875,205093.484375,235811.09375,275349.9375,14424.917708333332,16485.261458333334,18954.320833333335,22132.422916666666,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000009,SNGE7IFL,SN,2016.0,9.0,SN2016DHS,54111.49609375,62215.96875,72647.8046875,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.80245574315389,0.8041138648986816,0.8051372369130453,33.30454635620117,32.84166717529297,32.119998931884766,31.233333587646484,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,943.0,887.0,976.0,1018.0,994.0,950.0,949.0,0.0,0.0,0.0,0.0,91.5,1702.102294921875,5,-9999,0.023231269234951772,0.1081386760113289,0.28029176856046717,25.792726516723633,26.167499542236328,26.02666664123535,25.3125,0.0,13.197754859924316,0.0,0.019904008135199547,0.0,0.10002682358026505,0.061030976474285126,0.05855277180671692,0.05762137845158577,0.0571182444691658,0.032315444201231,0.030700212344527245,0.030206678435206413,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,5.943495686848959,19.933332443237305,19.391666412353516,18.280908584594727,19.49333381652832,19.933332443237305,19.391666412353516,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,3789.588897,107394.5418,3891.222002,462.0,268.0,504.0,450.0,632.0,594.0,671.0,0.2570081651210785,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.4375,0.0,395.0156575520833,451.4369791666667,519.0502604166667,606.080078125,190377.03125,217569.015625,250155.15625,292099.09375,14299.66015625,16342.11328125,18789.73046875,21940.23828125,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
SN201600000010,SNGE7IFL,SN,2016.0,10.0,SN2016DHS,453548.875,521478.46875,608915.4375,51.95000076293945,62.33333206176758,60.31666564941406,49.224998474121094,10.477311134338379,11.91082763671875,11.416403770446777,9.812292098999023,0.9373957894065164,0.937462720003995,0.9380516572432085,-9999,-9999,-9999,-9999,10.550000190734863,12.058333396911621,11.375,10.966667175292969,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,92.0625,1702.102294921875,-9999,-9999,0.01691988369000412,0.0877642021277042,0.23119401643990353,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,0.0,0.08864880353212357,0.0518532320857048,0.05134015530347824,0.052211467176675797,0.04941058158874512,0.027022898197174072,0.026640769094228745,0.027120061218738556,30.641666412353516,32.141666412353516,31.950000762939453,31.21666717529297,25.34166717529297,26.08333396911621,26.225000381469727,25.700000762939453,20.09166717529297,20.08333396911621,20.575000762939453,20.25,15.976048519736842,-9999,-9999,-9999,-9999,-9999,-9999,4.958333492279053,5.233333587646484,5.2833333015441895,5.016666889190674,1561.765807,108457.5496,1561.713142,482,273,532,466,652,629,733,0.22767214477062225,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5,0.0,3212.490234375,3671.33984375,4221.209821428572,4928.984933035715,174127.8125,198998.984375,228803.78125,267167.4375,13077.84765625,14945.79296875,17184.28125,20065.57421875,5.949999809265137,7.826666355133057,7.954166412353516,6.1533331871032715
