DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
SN201200000001,SNGE6AFL,SN,2012,1,SN2012DHS,201524.6875,231707.7188,270558.4688,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.78800292,0.803653908,0.811946106,30.75727272,30.86833382,30.63166618,30.38090897,10.55000019,12.0583334,11.375,10.96666718,4,934,1023,1040,1044,1025,967,964,0,0,0,0,60.77777778,1702.102295,-9999,-9999,0.016289335,0.093975442,0.267762464,25.62636375,26.18833351,26.21166611,25.84462166,6.511952914,0.55521921,66.39927791,0,1387.982121,0.080030307,0.04735693,0.049671728,0.053094402,0.046368863,0.025718486,0.026911724,0.028831596,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,41.05745073,21.79166603,21.30833244,20.49545479,21.50833321,21.79166603,21.30833244,4.958333492,5.233333588,5.283333302,5.016666889,1298.157578,104779.137,795.6504558,501,272,523,498,659,648,717,0.220436716,3,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.61538462,0,1358.738444,1552.811198,1785.381185,2084.738281,104089.2109,118956.5625,136773.1094,159705.9844,10144.58705,11593.56473,13329.97321,15565.02679,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000002,SNGE6AFL,SN,2012,2,SN2012DHS,225257.2813,258994.875,302420.875,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.871242455,0.875466211,0.889101028,30.75727272,30.86833382,30.63166618,30.38090897,10.55000019,12.0583334,11.375,10.96666718,4,186,173,173,290,403,365,365,0,0,0,0,61,1702.102295,-9999,-9999,0.016289335,0.093975442,0.267762464,25.62636375,26.18833351,26.21166611,25.84462166,7.341126251,0.669302893,86.23469238,0,1787.755664,0.080030307,0.04735693,0.049671728,0.053094402,0.046368863,0.025718486,0.026911724,0.028831596,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,40.42396439,21.79166603,21.30833244,20.49545479,21.50833321,21.79166603,21.30833244,4.958333492,5.233333588,5.283333302,5.016666889,1345.733226,106198.7664,556.4092372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.337169051,3,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.2,0,1837.040128,2099.43022,2413.869318,2818.605824,82338.75,94099.42188,108193.0156,126333.8672,10144.58594,11593.56534,13329.97443,15565.02557,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000003,SNGE6AFL,SN,2012,3,SN2012DHS,302270.6875,347542.8438,405815.7813,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.999127021,0.999127021,0.99943968,30.75727272,30.86833382,30.63166618,30.38090897,10.55000019,12.0583334,11.375,10.96666718,4,186,173,173,290,403,365,365,0,0,0,0,69.71428571,1702.102295,5,0.511647522,0.014155252,0.080781647,0.226719457,25.62636375,26.18833351,26.21166611,25.84462166,0,0,0,0,0,0.083995469,0.051255602,0.054469094,0.055887729,0.048966404,0.028065661,0.029785857,0.030506689,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,36.70453947,21.79166603,21.30833244,20.49545479,21.50833321,21.79166603,21.30833244,4.958333492,5.233333588,5.283333302,5.016666889,2765.869983,109064.9459,2538.773431,412,211,440,386,515,564,606,0.466584342,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,6.071428571,0,1870.240792,2137.372768,2457.494699,2869.546317,118211.4141,135095.875,155329.6719,181373.9688,10144.58594,11593.56585,13329.97433,15565.02679,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000004,SNGE6AFL,SN,2012,4,SN2012DHS,197103.2188,226624.0938,264622.4375,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.950149536,0.957092725,0.956404686,30.75727272,30.86833382,30.63166618,30.38090897,10.55000019,12.0583334,11.375,10.96666718,4,934,1023,1040,1044,1025,967,964,0,0,0,0,71.5,1702.102295,5,0.511647522,0.016289335,0.093975442,0.267762464,25.62636375,26.18833351,26.21166611,25.84462166,0,0,0,0,0,0.080030307,0.04735693,0.049671728,0.053094402,0.046368863,0.025718486,0.026911724,0.028831596,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,34.43618164,21.79166603,21.30833244,20.49545479,21.50833321,21.79166603,21.30833244,4.958333492,5.233333588,5.283333302,5.016666889,1198.586407,107320.0078,1460.441243,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.45051686,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,15.64285714,0,1549.208845,1770.487165,2035.659459,2376.980748,117678.6719,134487.0313,154629.6406,180556.5625,10144.58594,11593.56585,13329.97545,15565.02679,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000005,SNGE6AFL,SN,2012,5,SN2012DHS,40777.49609,46884.88281,54746.13281,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.843682194,0.848467445,0.860412598,31.6063633,31.49833298,30.98333359,30.54833412,10.55000019,12.0583334,11.375,10.96666718,4,682,672,744,843,943,893,945,0,0,0,0,79.36363636,1702.102295,5,0.511647522,0.023265145,0.124537121,0.350732835,25.6427269,26.40916634,26.28833389,25.71750069,0,0,0,0,0,0.106809139,0.065803446,0.06764406,0.068867587,0.065704249,0.037135143,0.037866183,0.038560927,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,26.81832608,21.5933342,20.88666725,19.6790905,21.31999969,21.5933342,20.88666725,4.958333492,5.233333588,5.283333302,5.016666889,993.5458834,114408.5527,850.1806024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.688554764,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,7.7,0,295.4760742,337.6798002,388.255296,453.3545297,79077.27344,90372.09375,103907.4453,121329.7188,10144.58665,11593.56534,13329.97443,15565.02557,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000006,SNGE6AFL,SN,2012,6,SN2012DHS,270448.8125,310954.875,363093.0625,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.917203154,0.917293957,0.916577271,30.84272766,31.08166695,30.18499947,29.93666649,10.55000019,12.0583334,11.375,10.96666718,4,800,720,764,905,886,844,867,0,0,0,0,85.8,1702.102295,5,0.511647522,0.015905119,0.089269037,0.248602858,25.0354538,25.8125,25.62916756,25.15166664,0,0,0,0,0,0.07746736,0.046460636,0.04871466,0.051024634,0.044488303,0.025113899,0.026315687,0.027588071,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,29.64112103,21.07333374,20.36666679,19.22818184,20.54333305,21.07333374,20.36666679,4.958333492,5.233333588,5.283333302,5.016666889,2629.912807,111043.31,2596.743135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.458906753,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,8.066666667,0,1454.744792,1662.530339,1911.533464,2232.042708,125576.25,143512.6563,165007.0625,192673.9688,10146.62083,11595.89167,13332.64896,15568.14792,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000007,SNGE6AFL,SN,2012,7,SN2012DHS,207401.7969,238465.0938,278448.875,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.882380399,0.882716786,0.882058577,30.84272766,31.08166695,30.18499947,29.93666649,10.55000019,12.0583334,11.375,10.96666718,4,800,720,764,905,886,844,867,0,0,0,0,88.2,1702.102295,5,0.511647522,0.015905119,0.089269037,0.248602858,25.0354538,25.8125,25.62916756,25.15166664,0,0,0,0,0,0.07746736,0.046460636,0.04871466,0.051024634,0.044488303,0.025113899,0.026315687,0.027588071,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,28.1951945,21.07333374,20.36666679,19.22818184,20.54333305,21.07333374,20.36666679,4.958333492,5.233333588,5.283333302,5.016666889,1822.053611,110197.2585,1813.077872,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.401403554,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,10.46666667,0,1189.309448,1359.182007,1562.751465,1824.780029,126513.9766,144584.3281,166239.2344,194112.7344,10146.62083,11595.89167,13332.64792,15568.14792,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000008,SNGE6AFL,SN,2012,8,SN2012DHS,249016.1563,286312.1875,334318.5,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.817742788,0.824614451,0.836032281,30.84272766,31.08166695,30.18499947,29.93666649,10.55000019,12.0583334,11.375,10.96666718,4,800,720,764,905,886,844,867,0,0,0,0,82.5,1702.102295,5,0.511647522,0.019932651,0.099859998,0.268908084,25.0354538,25.8125,25.62916756,25.15166664,0,0,0,0,0,0.097695753,0.059087388,0.059482016,0.060493186,0.057981227,0.03243487,0.032410882,0.032987442,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,25.97817202,21.07333374,20.36666679,19.22818184,20.54333305,21.07333374,20.36666679,4.958333492,5.233333588,5.283333302,5.016666889,1623.878582,112127.7957,1548.938535,493,265,516,466,626,619,712,0.558532715,3,3,3,22.30422592,27.06056404,22.9309864,21.41831017,21.47887421,26.53943634,25.28591537,21.72112656,23.07887268,25.60563469,27.48309898,27.48450661,8.076923077,0,1706.048227,1949.728215,2241.745793,2617.622596,111418.9688,127333.2578,146404.4063,170952.1719,10222.22292,11682.29167,13431.98958,15684.14375,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000009,SNGE6AFL,SN,2012,9,SN2012DHS,277397.8125,318944.6563,372422.5,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.78597633,0.788635413,0.793698788,31.06272697,30.86499977,30.12833405,30.05833244,10.55000019,12.0583334,11.375,10.96666718,4,208,199,209,213,221,197,186,0,0,0,0,88,1702.102295,5,-9999,0.016919884,0.087764202,0.231194016,25.0363636,25.59666634,25.55750084,25.14333344,0,0,0,0,0,0.088648804,0.051853232,0.051340155,0.052211467,0.049410582,0.027022898,0.026640769,0.027120061,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,14.12340291,20.98666573,20.22833252,19.01000023,20.3283329,20.98666573,20.22833252,4.958333492,5.233333588,5.283333302,5.016666889,1019.221351,111064.9256,1014.835872,482,273,532,466,652,629,733,0.304101169,3,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.181818182,0,3005.003581,3434.217448,3948.572266,4610.634766,103839.3047,118671.0625,136444.8125,159322.3438,11675.79036,13343.48958,15341.98828,17914.35938,5.949999809,7.826666355,7.954166412,6.153333187
SN201200000010,SNGE6AFL,SN,2012,10,SN2012DHS,108650.3281,124923.2656,145869.3125,51.95000076,62.33333206,60.31666565,49.22499847,10.47731113,11.91082764,11.41640377,9.812292099,0.762899919,0.764947371,0.763168508,31.06272697,30.86499977,30.12833405,30.05833244,10.55000019,12.0583334,11.375,10.96666718,4,208,199,209,213,221,197,186,0,0,0,0,90,1702.102295,5,-9999,0.023231269,0.108138676,0.280291769,25.0363636,25.59666634,25.55750084,25.14333344,0,0,0,0,0,0.100026824,0.061030976,0.058552772,0.057621378,0.057118244,0.032315444,0.030700212,0.030206678,30.64166641,32.14166641,31.95000076,31.21666718,25.34166718,26.08333397,26.22500038,25.70000076,20.09166718,20.08333397,20.57500076,20.25,4.587340291,20.98666573,20.22833252,19.01000023,20.3283329,20.98666573,20.22833252,4.958333492,5.233333588,5.283333302,5.016666889,1490.806494,109911.5158,1742.6818,482,273,532,466,652,629,733,0.212270975,3,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.333333333,0,1138.775,1301.429688,1496.349479,1747.244271,141597.4375,161822.125,186058.8281,217255.5625,14106.40402,16121.25558,18535.79464,21643.71875,5.949999809,7.826666355,7.954166412,6.153333187
