DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
TZ201500000001,TZGE7AFL,TZ,2015.0,1.0,TZ2015DHS,17394.91796875,20326.126953125,23809.01953125,51.54999923706055,33.516666412353516,48.80833435058594,63.93333435058594,14.155606269836426,8.762527465820312,13.34168529510498,17.759260177612305,2.5297958581220536e-05,2.7338598692227922e-05,6.758207603106423e-05,30.658430619673297,30.341058904474433,29.07742587002841,30.65090664950284,12.133333206176758,12.258333206176758,11.791666984558105,11.691666603088379,5.0,2415.4545454545455,2379.181818181818,2458.2727272727275,2587.909090909091,2682.0,2694.090909090909,2741.0,0.0,0.0,0.0,0.0,24.48509485094851,848.2458844866071,7.0,0.360012412071228,0.15725162490286412,0.4840065397055872,0.5694414889661576,23.234297318892047,23.547726717862215,22.83658946644176,23.821061567826703,10.986930206216124,20.968853213922763,4.19335606686145,0.04152001791853246,2.5967898485137195,0.22384332120418549,0.11980293691158295,0.09953518211841583,0.06167082116007805,0.1676902174949646,0.07039016485214233,0.05704521760344505,0.032639723271131516,26.741666793823242,27.325000762939453,26.816667556762695,26.80000114440918,20.649999618530273,21.17500114440918,20.90833282470703,20.916667938232422,14.608333587646484,15.066667556762695,15.02500057220459,15.108333587646484,0.010446441924160367,16.595758611505683,16.99121232466264,15.810164018110795,16.75439453125,16.595758611505683,16.99121232466264,3.6416666507720947,3.825000047683716,3.6583335399627686,3.6000001430511475,229892.1738,27153.96574,49962.42769,817.6,892.5,674.1,784.3,535.7,793.3,700.6,2.6622903301786924,1.0,1.0,0.0,20.530750274658203,17.702999114990234,21.51849937438965,21.1200008392334,21.13949966430664,16.854999542236328,17.831499099731445,20.930248260498047,18.918750762939453,21.42799949645996,20.42275047302246,19.22749900817871,134.29539295392954,111.289972899729,6.522369384765625,7.495978977369226,8.75912210215693,10.260001804517662,23714.12109375,26604.001953125,30188.99609375,34157.6015625,75.37494177676152,84.56040396341463,95.95524220867209,108.56938092818429,8.319999694824219,7.438333034515381,8.318333625793457,10.114999771118164
TZ201500000002,TZGE7AFL,TZ,2015.0,2.0,TZ2015DHS,26695.017578125,31193.37890625,36538.37890625,47.53333282470703,33.04166793823242,48.233333587646484,68.96666717529297,12.789237976074219,8.490364074707031,12.948546409606934,18.894977569580078,8.117734262394527e-06,5.9109328994675286e-05,3.485706826997182e-05,31.604180908203126,32.063165283203126,29.607666015625,30.93699951171875,12.083333969116211,12.200000762939453,11.666666984558105,11.566666603088379,5.0,2699.5,2804.3,2788.9,2830.1,2965.4,2887.3,2998.5,0.0,0.0,0.0,0.0,21.920980926430516,848.245849609375,8.0,2.045428514480591,0.14668268340603927,0.4433807178960028,0.5283353966150471,23.61390838623047,24.402333068847657,23.082666015625,24.112832641601564,8.987955729166666,15.262923443903688,4.393988270577186,0.792784227048113,4.341045442174693,0.2485738754272461,0.10260561307271322,0.09741150538126628,0.07588604291280111,0.19317331314086914,0.05754795471827189,0.05465444326400757,0.04156100352605184,27.358333587646484,27.941667556762695,27.42500114440918,27.350000381469727,21.291667938232422,21.816667556762695,21.566667556762695,21.55000114440918,15.27500057220459,15.741666793823242,15.758334159851074,15.783333778381348,0.01094485236250836,16.557666015625,17.288667297363283,15.623635864257812,16.741500854492188,16.557666015625,17.288667297363283,3.7166666984558105,3.891666889190674,3.7250001430511475,3.6500000953674316,215250.3288,20903.42124,15300.8448,736.6,829.5,644.9,718.0,443.5,741.2,665.9,1.4328733350409837,1.0,1.0,0.0,21.681251525878906,18.658000946044922,22.301000595092773,21.985000610351562,21.930500030517578,17.74100112915039,18.7135009765625,22.03700065612793,19.880001068115234,22.324249267578125,21.363248825073242,20.23400115966797,160.33879781420765,69.60655737704919,9.339012208361716,10.73306914701124,12.541692832510218,14.69071706829019,15506.353515625,17654.5234375,20340.958984375,23377.267578125,49.37586449795082,56.216103142076506,64.77027834699453,74.43852459016394,8.048333168029785,7.279166221618652,8.37166690826416,9.78416633605957
TZ201500000003,TZGE7AFL,TZ,2015.0,3.0,TZ2015DHS,7993.1474609375,9340.0693359375,10940.494140625,51.54999923706055,33.516666412353516,48.80833435058594,63.93333435058594,14.155606269836426,8.762527465820312,13.34168529510498,17.759260177612305,0.03484930098056793,0.040989287197589874,0.04661762714385986,31.96636390686035,32.10166549682617,31.268333435058594,32.063331604003906,12.133333206176758,12.258333206176758,11.791666984558105,11.691666603088379,5.0,2427.0,2486.0,2520.0,2510.0,2521.0,2568.0,2729.0,0.0,0.0,0.0,0.0,46.8125,848.245849609375,7,0.0,0.147230766502417,0.4853984255227357,0.5727990925467443,24.39181900024414,24.920833587646484,24.512500762939453,25.053333282470703,5.764364242553711,16.138469696044922,3.4180972576141357,0.03651627525687218,1.5865333080291748,0.21188418567180634,0.13825690746307373,0.09952926635742188,0.061202533543109894,0.1820998191833496,0.09524974972009659,0.06368914246559143,0.0352809838950634,26.741666793823242,27.325000762939453,26.816667556762695,26.80000114440918,20.649999618530273,21.17500114440918,20.90833282470703,20.916667938232422,14.608333587646484,15.066667556762695,15.02500057220459,15.108333587646484,0.9179971929182086,17.75666618347168,18.043333053588867,16.817272186279297,17.739999771118164,17.75666618347168,18.043333053588867,3.6416666507720947,3.825000047683716,3.6583335399627686,3.6000001430511475,254215.483,52323.6207,61640.64265,807,829,657,671,552,749,622,1.547693133354187,0.0,0.0,0.0,21.06800079345703,18.270999908447266,22.301000595092773,21.863000869750977,21.843000411987305,17.28700065612793,18.179000854492188,21.402999877929688,19.440000534057617,22.145999908447266,21.15399932861328,19.91200065612793,87.4375,113.3125,65.8994384765625,75.73640950520833,88.49871419270833,103.66300455729167,5870.0771484375,6585.5048828125,7473.166015625,8455.1328125,427.89227294921875,480.04248046875,544.7474365234375,616.3267822265625,8.319999694824219,7.438333034515381,8.318333625793457,10.114999771118164
TZ201500000004,TZGE7AFL,TZ,2015.0,4.0,TZ2015DHS,11108.7470703125,12980.67578125,15204.9208984375,51.54999923706055,33.516666412353516,48.80833435058594,63.93333435058594,14.155606269836426,8.762527465820312,13.34168529510498,17.759260177612305,1.9410452894723644e-06,1.9410452894723644e-06,3.9086329003873344e-05,31.3430908203125,31.00566711425781,29.23800048828125,31.0913330078125,12.133333206176758,12.258333206176758,11.791666984558105,11.691666603088379,5.0,2356.8,2408.8,2460.2,2611.6,2731.1,2793.8,2825.8,0.0,0.0,0.0,0.0,27.581967213114755,848.2458147321429,7.0,1.6453187465667725,0.15315311246592825,0.47106203450655426,0.5570507939949233,23.536273193359374,23.980166625976562,22.939999389648438,24.249667358398437,9.784048945525956,23.326139856557376,4.091210537269467,0.04785498113580089,2.8879287803107925,0.22759017944335938,0.11538865566253662,0.0941163698832194,0.06333678166071574,0.1720057964324951,0.06682799657185873,0.052752244472503665,0.033722885449727374,26.741666793823242,27.325000762939453,26.816667556762695,26.80000114440918,20.649999618530273,21.17500114440918,20.90833282470703,20.916667938232422,14.608333587646484,15.066667556762695,15.02500057220459,15.108333587646484,0.004821538279050088,16.641999816894533,17.408000183105468,15.729454040527344,16.95466766357422,16.641999816894533,17.408000183105468,3.6416666507720947,3.825000047683716,3.6583335399627686,3.6000001430511475,233703.2439,30520.96525,33844.18966,715.5,783.9,611.9,684.9,449.2,726.9,632.6,1.9999518055733436,1.0,1.0,0.0,21.241498947143555,18.396499633789062,22.095748901367188,21.710498809814453,21.6924991607666,17.517749786376953,18.495498657226562,21.600500106811523,19.587499618530273,22.042749404907227,21.06974983215332,19.945249557495117,133.60109289617486,89.66939890710383,4.23314546068616,4.865037360715482,5.684842598022788,6.658942746732574,21042.52734375,23606.158203125,26787.91015625,30308.78125,67.02599363900273,75.1918331625683,85.32656143271858,96.54145321038251,8.319999694824219,7.438333034515381,8.318333625793457,10.114999771118164
TZ201500000005,TZGE7AFL,TZ,2015.0,5.0,TZ2015DHS,7602.7216796875,8883.8525390625,10406.10546875,62.17499923706055,44.608333587646484,48.34166717529297,59.56666946411133,16.43391990661621,11.175365447998047,12.638343811035156,15.67543888092041,1.5464880002232698e-05,3.991893623979428e-05,4.574091424449132e-05,32.85595148259943,33.56878939541903,34.3360595703125,34.45015369762074,11.550000190734863,11.875,11.600000381469727,11.441666603088379,9.0,2469.090909090909,2541.7272727272725,2608.181818181818,2702.6363636363635,2717.5454545454545,2537.909090909091,2701.2727272727275,0.0,0.0,0.0,0.0,24.02710027100271,858.8394252232143,7.0,0.0,0.144725125592507,0.5157481265975229,0.6236371773601367,25.795041170987215,26.70045332475142,27.178713711825285,27.345531116832387,0.4496638600419207,11.218171737381436,2.8135678671239837,1.5396225678565378,2.957599257389058,0.26418209075927734,0.152038049697876,0.08432520230611165,0.07043877442677816,0.19955933888753255,0.09170363744099935,0.04556454022725423,0.037836376825968424,28.141666412353516,28.791667938232422,28.383333206176758,28.450000762939453,22.33333396911621,22.825000762939453,22.558334350585938,22.70833396911621,16.59166717529297,16.916667938232422,16.78333282470703,17.008333206176758,0.0,20.0213623046875,20.240908536044035,18.734133633700285,19.83212002840909,20.0213623046875,20.240908536044035,3.7833333015441895,3.991666793823242,3.825000047683716,3.799999952316284,297566.7788,15406.00448,242717.8073,609.6363636363636,609.8181818181819,568.2727272727273,585.0,378.09090909090907,530.4545454545455,648.0909090909091,3.0146639857511857,1.0,0.0,0.0,22.777000427246094,20.412333170572918,24.151331583658855,23.54566701253255,23.679000854492188,19.636332194010418,20.43833287556966,23.412999471028645,21.469334920247395,24.294334411621094,23.2413330078125,21.922999064127605,178.38482384823848,194.70731707317074,2.8861061014154905,3.316922095514113,3.8758551484795025,4.539984262117776,9389.103515625,10533.53125,11953.04296875,13523.52734375,29.770272273035232,33.39893504403794,37.89981897865854,42.8793879149729,9.136666297912598,7.499166488647461,7.334166526794434,8.497499465942383
TZ201500000006,TZGE7AFL,TZ,2015.0,6.0,TZ2015DHS,10818.5419921875,12641.568359375,14807.70703125,62.17499923706055,44.608333587646484,48.34166717529297,59.56666946411133,16.43391990661621,11.175365447998047,12.638343811035156,15.67543888092041,0.0,0.0,0.0,33.17958762428977,33.09696821732955,34.40848610617898,34.10787686434659,11.550000190734863,11.875,11.600000381469727,11.441666603088379,9.0,2200.181818181818,2281.909090909091,2265.818181818182,2359.6363636363635,2443.0,2296.818181818182,2400.6363636363635,0.0,0.0,0.0,0.0,19.245231607629428,858.839453125,7.0,0.0,0.14136749971296603,0.5193267998154716,0.6211067104568178,25.848593971946023,26.39901455965909,27.09939297762784,27.033558238636363,1.569657078880705,12.761660209468666,3.9402620487057223,1.399037706754513,3.3262862951294276,0.24324706196784973,0.14048567414283752,0.07612256705760956,0.06743960827589035,0.17599783837795258,0.08210291713476181,0.04025319218635559,0.03578890860080719,28.141666412353516,28.791667938232422,28.383333206176758,28.450000762939453,22.33333396911621,22.825000762939453,22.558334350585938,22.70833396911621,16.59166717529297,16.916667938232422,16.78333282470703,17.008333206176758,0.0007123597097332326,19.79030262340199,19.95924238725142,18.51760309392756,19.701060901988637,19.79030262340199,19.95924238725142,3.7833333015441895,3.991666793823242,3.825000047683716,3.799999952316284,290091.2524,20766.33518,224900.3877,649.3333333333334,584.75,626.4166666666666,634.0,366.6666666666667,525.3333333333334,629.0,2.497273374968069,1.0,1.0,0.0,22.6924991607666,20.160749435424805,23.933000564575195,23.33074951171875,23.512248992919922,19.420249938964844,20.259998321533203,23.300750732421875,21.250499725341797,24.099750518798828,22.92474937438965,21.609249114990234,148.0299727520436,170.05177111716623,4.149684057159015,4.769117585455764,5.572759142510054,6.5276539984081765,10258.775390625,11509.095703125,13060.1025390625,14775.9560546875,32.692156633174385,36.67661678303815,41.61928963726158,47.08728393222071,9.136666297912598,7.499166488647461,7.334166526794434,8.497499465942383
TZ201500000007,TZGE7AFL,TZ,2015.0,7.0,TZ2015DHS,8308.076171875,9708.0654296875,11371.548828125,46.03333282470703,28.975000381469727,40.45000076293945,47.775001525878906,12.330357551574707,7.413646221160889,10.834821701049805,12.912161827087402,8.098521102396095e-06,2.4295561838225236e-05,2.186600565440271e-05,31.133999633789063,32.11466674804687,31.889166259765624,32.966165161132814,11.933333396911621,12.108333587646484,11.758333206176758,11.625,9.0,2400.5,2463.8,2541.9,2656.1,2579.5,2692.7,2427.5,0.0,0.0,0.0,0.0,30.844919786096256,825.7113037109375,7.0,0.0,0.12339460349952251,0.47042833880859014,0.5616279947635245,23.338363647460938,24.375750732421874,24.303167724609374,25.00224914550781,18.720374122660427,34.75333702372995,10.592906605113637,3.6134111537015374,4.31774837065508,0.24379968643188477,0.196385281426566,0.09226483958108085,0.07371647017342704,0.1914975983755929,0.1356849500111171,0.05228433438709804,0.04089068940707615,27.71666717529297,28.266666412353516,27.875,27.92500114440918,21.733333587646484,22.183334350585938,21.975000381469727,22.09166717529297,15.783333778381348,16.15833282470703,16.116666793823242,16.30000114440918,0.0021204436721233557,16.71716766357422,17.038333129882812,15.542727661132812,16.636834716796876,16.71716766357422,17.038333129882812,3.7333333492279053,3.9083333015441895,3.7333333492279053,3.700000047683716,265502.206,94930.70436,167198.0967,599.7,640.4,606.1,730.0,375.7,571.0,622.9,1.8671553504658256,1.0,1.0,1.0,20.799251556396484,18.173500061035156,21.651248931884766,21.571998596191406,21.640748977661133,17.413501739501953,18.381500244140625,21.394750595092773,19.101749420166016,21.868249893188477,20.753999710083008,19.565250396728516,168.81550802139037,146.3903743315508,3.290188333262568,3.7813229768172554,4.418511763862941,5.17562600840693,12122.052734375,14007.0419921875,16424.41015625,19266.421875,37.8490453709893,43.73450555648396,51.282184784425134,60.15567555147059,8.456665992736816,7.0283331871032715,7.752499580383301,9.204166412353516
TZ201500000008,TZGE7AFL,TZ,2015.0,8.0,TZ2015DHS,13286.9384765625,15525.9130859375,18186.28515625,66.24166870117188,45.108333587646484,54.90833282470703,70.28333282470703,18.615924835205078,12.082589149475098,15.32325553894043,19.79812240600586,8.480912192335612e-06,1.2447026004142398e-05,2.647258188056795e-05,29.752827962239582,31.47777642144097,31.58203803168403,32.322408040364586,11.516666412353516,11.716667175292969,11.40000057220459,11.27500057220459,9.0,2686.8888888888887,2636.777777777778,2689.1111111111113,2812.8888888888887,2801.777777777778,2802.1111111111113,2696.1111111111113,0.0,0.0,0.0,0.0,30.284153005464482,858.8394252232143,8.0,0.4799676736195882,0.1273178946170357,0.46617659617888496,0.5607412351637736,22.811011420355904,24.33361138237847,24.46953667534722,25.050649007161457,6.399441411586407,30.961348403346996,6.955705819885587,3.0350515230105874,3.3408563332479506,0.2511453628540039,0.1411346197128296,0.05725833773612976,0.062024086713790894,0.2019156515598297,0.0862634927034378,0.03059528023004532,0.03384643793106079,27.05000114440918,27.641666412353516,27.25,27.358333587646484,21.266666412353516,21.758333206176758,21.524999618530273,21.683334350585938,15.533333778381348,15.925000190734863,15.850000381469727,16.08333396911621,0.0049804446666647986,17.357037014431423,17.778888278537327,15.869191487630209,17.189444647894966,17.357037014431423,17.778888278537327,3.558333396911621,3.7333333492279053,3.5833332538604736,3.5500001907348633,234146.8775,28933.31145,234146.9653,740.2,814.2,820.2,874.3,470.5,803.2,750.7,4.004380856706796,1.0,1.0,1.0,21.674667358398438,19.21999994913737,22.619667053222656,22.468666076660156,22.5749994913737,18.465999603271484,19.401334126790363,22.334665934244793,19.94699986775716,22.61133321126302,21.57300059000651,20.436665852864582,147.04644808743168,164.80327868852459,4.962531961420531,5.703301542548723,6.664361769153226,7.806303290910618,25132.6875,28196.076171875,31996.548828125,36201.85546875,80.2864156420765,90.07242571721312,102.21304004439891,115.6469006147541,9.962499618530273,8.12166690826416,8.380000114440918,10.03416633605957
TZ201500000009,TZGE7AFL,TZ,2015.0,9.0,TZ2015DHS,9311.455078125,10880.5234375,12744.90625,44.81666946411133,28.883333206176758,40.958335876464844,49.983333587646484,11.5905179977417,7.190871238708496,10.615550994873047,13.096070289611816,1.781682764726972e-05,1.975235248368884e-05,2.847130572985089e-05,32.555999755859375,34.85966796875,32.55416564941406,34.570831298828125,12.125,12.258333206176758,11.891667366027832,11.766666412353516,9.0,2451.6,2547.4,2531.3,2648.2,2473.5,2593.1,2429.9,0.0,0.0,0.0,0.0,35.9207650273224,930.671484375,6.0,0.0,0.14302554477693116,0.5202556035060871,0.6131764737536026,24.805818176269533,26.59708251953125,25.296832275390624,26.693084716796875,6.757704437756147,18.738033107069672,4.883311787589651,0.43332376115309085,2.7412531284686645,0.26130011876424153,0.19046141306559244,0.12794961929321289,0.08857685724894206,0.21687726974487304,0.13390016555786133,0.08040946324666341,0.05133401155471802,28.149999618530273,28.649999618530273,28.25,28.258333206176758,22.066667556762695,22.5,22.28333282470703,22.350000381469727,16.024999618530273,16.391666412353516,16.358333587646484,16.491666793823242,0.0,18.039500427246093,18.815333557128906,17.055636596679687,18.334500122070313,18.039500427246093,18.815333557128906,3.866666793823242,4.016666889190674,3.8583333492279053,3.816666841506958,284817.305,104230.2976,112169.6804,622.3636363636364,641.3636363636364,589.6363636363636,643.7272727272727,421.72727272727275,617.3636363636364,596.8181818181819,0.7094624003425973,0.0,0.0,0.0,22.34724998474121,19.76300048828125,23.391250610351562,23.056249618530273,23.2085018157959,18.951000213623047,19.788501739501953,22.842248916625977,20.862998962402344,23.464500427246094,22.415250778198242,21.234249114990234,154.48907103825135,149.36885245901638,3.412664179581063,3.9220805570929835,4.582988520733992,5.368285800195845,5303.560546875,5950.0029296875,6752.052734375,7639.1640625,16.915159131659838,18.97692270747951,21.5349788144638,24.364332522199454,8.037500381469727,6.7808332443237305,7.644166469573975,9.264999389648438
TZ201500000010,TZGE7AFL,TZ,2015.0,10.0,TZ2015DHS,10517.142578125,12289.380859375,14395.171875,51.94166946411133,33.616668701171875,42.66666793823242,49.71666717529297,13.346895217895508,8.249488830566406,10.916844367980957,12.830107688903809,3.5303949306790644e-05,4.877808551566723e-05,0.0003331335356984383,33.79527282714844,34.51766357421875,34.894833374023435,35.357000732421874,11.725000381469727,11.950000762939453,11.641666412353516,11.475000381469727,9.0,2002.4,2211.6,2149.9,2278.8,2305.3,2253.2,2236.6,0.0,0.0,0.0,0.0,30.15846994535519,858.8394252232143,7.0,0.0,0.13843679568630643,0.513226277460838,0.6079291418272373,26.473544311523437,27.434918212890626,27.664749145507812,28.0086669921875,4.4911555722762975,11.42573188823429,3.7818373383068646,0.854735577692751,3.101826318626195,0.2357907635825021,0.13796779939106532,0.0785008158002581,0.07465075595038277,0.17546640123639787,0.08194150243486677,0.04298025369644165,0.04108978595052447,28.883333206176758,29.491666793823242,29.09166717529297,29.133333206176758,23.008333206176758,23.491666793823242,23.241666793823242,23.383333206176758,17.15833282470703,17.541667938232422,17.450000762939453,17.65833282470703,0.0,20.434666442871094,20.66033477783203,19.151817321777344,20.35216522216797,20.434666442871094,20.66033477783203,3.8916666507720947,4.074999809265137,3.9083333015441895,3.875,283262.7703,44686.05364,202172.9513,637.5,568.7,601.5,640.6,337.8,523.9,644.3,1.8050100191043374,0.0,0.0,0.0,23.27199935913086,20.655250549316406,24.592750549316406,23.840499877929688,24.09575080871582,19.902999877929688,20.7242488861084,23.823999404907227,21.825748443603516,24.63625144958496,23.37649917602539,22.057249069213867,81.99180327868852,85.98907103825137,3.9328905983906677,4.519962986418597,5.281619204487398,6.1866272138964575,15550.982421875,17446.013671875,19797.345703125,22400.09765625,49.73041004952186,55.790519339139344,63.30983179644809,71.63316470286885,8.477499961853027,6.999166488647461,7.263333320617676,8.835000038146973
