"","Overall","0","1","p","test"
"n","8099","7029","1070","",""
"staffcat (%)","","","","<0.001",""
"   (-Inf,5]","2837 (35.0)","2705 (38.5)","132 (12.3)","",""
"   (5,10]","1629 (20.1)","1528 (21.7)","101 (9.4)","",""
"   (10,25]","1732 (21.4)","1456 (20.7)","276 (25.8)","",""
"   (25, Inf]","1901 (23.5)","1340 (19.1)","561 (52.4)","",""
"ownership (%)","","","","<0.001",""
"   Government/Public","5410 (66.8)","4975 (70.8)","435 (40.7)","",""
"   NGO/Private Not-For-Profit","664 (8.2)","527 (7.5)","137 (12.8)","",""
"   Private-For-Profit","1186 (14.6)","826 (11.8)","360 (33.6)","",""
"   Mission/Faith-Based","839 (10.4)","701 (10.0)","138 (12.9)","",""
"facility_type (%)","","","","<0.001",""
"   hospital","1860 (23.0)","1303 (18.5)","557 (52.1)","",""
"   primary","4879 (60.2)","4405 (62.7)","474 (44.3)","",""
"   other","1360 (16.8)","1321 (18.8)","39 (3.6)","",""
"power = 1 (%)","2810 (34.7)","2486 (35.4)","324 (30.3)","0.001",""
"improved_water = 1 (%)","7051 (87.1)","6036 (85.9)","1015 (94.9)","<0.001",""
"improved_sanitation = 1 (%)","5159 (64.7)","4398 (63.7)","761 (71.3)","<0.001",""
"computer = 1 (%)","3849 (47.5)","3045 (43.3)","804 (75.1)","<0.001",""
"email = 1 (%)","3380 (41.7)","2687 (38.2)","693 (64.8)","<0.001",""
"country (%)","","","","<0.001",""
"   Afghanistan","141 (1.7)","40 (0.6)","101 (9.4)","",""
"   Bangladesh","1496 (18.5)","1471 (20.9)","25 (2.3)","",""
"   DRC","1368 (16.9)","1328 (18.9)","40 (3.7)","",""
"   Haiti","999 (12.3)","961 (13.7)","38 (3.6)","",""
"   Malawi","964 (11.9)","614 (8.7)","350 (32.7)","",""
"   Nepal","918 (11.3)","748 (10.6)","170 (15.9)","",""
"   Senegal","1043 (12.9)","1014 (14.4)","29 (2.7)","",""
"   Tanzania","1170 (14.4)","853 (12.1)","317 (29.6)","",""
"general_opd_private_room = 1 (%)","5879 (90.9)","4878 (90.0)","1001 (95.4)","<0.001",""
"travel_quartile (%)","","","","0.045",""
"   1","1949 (25.1)","1661 (24.7)","288 (27.1)","",""
"   2","1959 (25.2)","1694 (25.2)","265 (25.0)","",""
"   3","1936 (24.9)","1657 (24.7)","279 (26.3)","",""
"   4","1931 (24.8)","1701 (25.3)","230 (21.7)","",""
"hhwealth_quartile (%)","","","","<0.001",""
"   1","1914 (25.1)","1731 (25.9)","183 (19.0)","",""
"   2","1916 (25.1)","1727 (25.9)","189 (19.7)","",""
"   3","1917 (25.1)","1662 (24.9)","255 (26.5)","",""
"   4","1886 (24.7)","1552 (23.3)","334 (34.8)","",""
