"","Overall","0","1","p","test"
"n","8048.5","7386.3","662.2","",""
"staffcat (%)","","","","<0.001",""
"   (-Inf,5]","3961.7 (49.2)","3818.7 (51.7)","143.0 (21.6)","",""
"   (5,10]","1832.2 (22.8)","1738.8 (23.5)","93.4 (14.1)","",""
"   (10,25]","1421.6 (17.7)","1241.0 (16.8)","180.6 (27.3)","",""
"   (25, Inf]","833.0 (10.3)","587.8 (8.0)","245.2 (37.0)","",""
"ownership (%)","","","","<0.001",""
"   Government/Public","5745.4 (71.4)","5494.5 (74.4)","250.9 (37.9)","",""
"   NGO/Private Not-For-Profit","580.0 (7.2)","484.1 (6.6)","95.9 (14.5)","",""
"   Private-For-Profit","1033.0 (12.8)","846.2 (11.5)","186.7 (28.2)","",""
"   Mission/Faith-Based","690.1 (8.6)","561.5 (7.6)","128.7 (19.4)","",""
"facility_type (%)","","","","<0.001",""
"   hospital","566.5 (7.0)","340.8 (4.6)","225.7 (34.1)","",""
"   primary","7452.7 (92.6)","7016.8 (95.0)","435.9 (65.8)","",""
"   other","29.4 (0.4)","28.7 (0.4)","0.6 (0.1)","",""
"power = 1 (%)","1094.6 (13.6)","933.1 (12.6)","161.5 (24.4)","<0.001",""
"improved_water = 1 (%)","6703.3 (83.3)","6077.6 (82.3)","625.7 (94.5)","<0.001",""
"improved_sanitation = 1 (%)","4836.6 (61.2)","4426.8 (61.1)","409.8 (62.2)","0.595",""
"computer = 1 (%)","2741.8 (34.1)","2326.0 (31.5)","415.8 (62.8)","<0.001",""
"email = 1 (%)","2688.1 (33.4)","2311.2 (31.3)","376.9 (56.9)","<0.001",""
"country (%)","","","","<0.001",""
"   Bangladesh","1513.0 (18.8)","1476.8 (20.0)","36.2 (5.5)","",""
"   DRC","1359.9 (16.9)","1318.6 (17.9)","41.3 (6.2)","",""
"   Haiti","999.0 (12.4)","961.1 (13.0)","38.0 (5.7)","",""
"   Malawi","963.8 (12.0)","614.6 (8.3)","349.1 (52.7)","",""
"   Nepal","941.1 (11.7)","870.4 (11.8)","70.8 (10.7)","",""
"   Senegal","1107.4 (13.8)","1105.3 (15.0)","2.2 (0.3)","",""
"   Tanzania","1164.3 (14.5)","1039.5 (14.1)","124.8 (18.8)","",""
"general_opd_private_room = 1 (%)","5450.1 (89.4)","4839.1 (88.8)","610.9 (94.8)","<0.001",""
"travel_hours (mean (SD))","7.40 (10.41)","7.61 (10.55)","5.23 (8.39)","<0.001",""
"travel_hours_cat (%)","","","","<0.001",""
"   (-Inf,5]","4938.8 (64.4)","4436.7 (63.2)","502.0 (77.0)","",""
"   (5,10]","1288.3 (16.8)","1198.3 (17.1)","90.0 (13.8)","",""
"   (10, Inf]","1444.4 (18.8)","1384.0 (19.7)","60.4 (9.3)","",""
"travel_quartile (%)","","","","0.083",""
"   1","2045.1 (26.7)","1859.3 (26.5)","185.8 (28.5)","",""
"   2","1921.4 (25.0)","1778.5 (25.3)","142.8 (21.9)","",""
"   3","1846.5 (24.1)","1668.9 (23.8)","177.6 (27.2)","",""
"   4","1858.4 (24.2)","1712.3 (24.4)","146.1 (22.4)","",""
"hhwealth_quartile (%)","","","","<0.001",""
"   1","1894.7 (24.7)","1774.9 (25.3)","119.8 (18.4)","",""
"   2","2012.2 (26.2)","1876.0 (26.7)","136.2 (20.9)","",""
"   3","1896.9 (24.7)","1726.8 (24.6)","170.1 (26.1)","",""
"   4","1867.2 (24.3)","1640.8 (23.4)","226.4 (34.7)","",""
"amitriptyline = 1 (%)","662.2 (8.2)","0.0 (0.0)","662.2 (100.0)","<0.001",""
"diazepam = 1 (%)","3710.4 (46.1)","3168.1 (42.9)","542.2 (81.9)","<0.001",""
