"","Overall","Bangladesh","DRC","Haiti","Malawi","Nepal","Senegal","Tanzania","p","test"
"n","7958","1496","1368","999","964","918","1043","1170","",""
"staffcat (%)","","","","","","","","","<0.001",""
"   (-Inf,5]","2835 (35.6)","1045 (69.9)","196 (14.3)","308 (30.8)","299 (31.0)","307 (33.4)","258 (24.7)","422 (36.1)","",""
"   (5,10]","1626 (20.4)","121 (8.1)","333 (24.3)","273 (27.3)","143 (14.8)","244 (26.6)","316 (30.3)","196 (16.8)","",""
"   (10,25]","1692 (21.3)","80 (5.3)","323 (23.6)","239 (23.9)","336 (34.9)","206 (22.4)","274 (26.3)","234 (20.0)","",""
"   (25, Inf]","1805 (22.7)","250 (16.7)","516 (37.7)","179 (17.9)","186 (19.3)","161 (17.5)","195 (18.7)","318 (27.2)","",""
"ownership (%)","","","","","","","","","<0.001",""
"   Government/Public","5376 (67.6)","1290 (86.2)","827 (60.5)","343 (34.3)","473 (49.1)","770 (83.9)","894 (85.7)","779 (66.6)","",""
"   NGO/Private Not-For-Profit","645 (8.1)","17 (1.1)","40 (2.9)","171 (17.1)","120 (12.4)","58 (6.3)","70 (6.7)","169 (14.4)","",""
"   Private-For-Profit","1098 (13.8)","102 (6.8)","158 (11.5)","296 (29.6)","204 (21.2)","86 (9.4)","49 (4.7)","203 (17.4)","",""
"   Mission/Faith-Based","839 (10.5)","87 (5.8)","343 (25.1)","189 (18.9)","167 (17.3)","4 (0.4)","30 (2.9)","19 (1.6)","",""
"facility_type (%)","","","","","","","","","<0.001",""
"   hospital","1555 (19.5)","154 (10.3)","626 (45.8)","131 (13.1)","115 (11.9)","213 (23.2)","60 (5.8)","256 (21.9)","",""
"   primary","5043 (63.4)","996 (66.6)","742 (54.2)","868 (86.9)","783 (81.2)","244 (26.6)","983 (94.2)","427 (36.5)","",""
"   other","1360 (17.1)","346 (23.1)","0 (0.0)","0 (0.0)","66 (6.8)","461 (50.2)","0 (0.0)","487 (41.6)","",""
"power = 1 (%)","1350 (17.0)","352 (23.5)","59 (4.3)","51 (5.1)","220 (22.8)","130 (14.2)","270 (25.9)","268 (22.9)","<0.001",""
"improved_water = 1 (%)","6914 (86.9)","1423 (95.1)","936 (68.4)","817 (81.8)","935 (97.0)","851 (92.7)","979 (93.9)","973 (83.2)","<0.001",""
